"rep","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","mean_margin","median_margin","mean_rho","max_rho","mean_kappa","max_kappa","method_global_ls","method_lss1","method_oasis_voxel","density","n_atoms","n_lags","n_widths","sbhm_rank"
1,0.28095187362787,4.47566161234438,0.162113476016754,-0.137652827798573,0.59375,TRUE,NA,0.133886552249059,0.0931953676718233,0.947402366045711,0.959529438311254,168.175644081036,346.199621970784,0,0,16,"coarse",6,3,2,6
2,0.272563420736507,3.79519326012887,-0.233112801595323,-0.058580467305444,0.569444444444444,TRUE,NA,0.142227846946101,0.0851827927724095,0.945537240595786,0.959529438311254,173.555088347508,346.199621970784,0,0,16,"coarse",6,3,2,6
3,0.294193421610005,3.8480019688528,-0.0756764085386458,0.0280620859553964,0.564236111111111,TRUE,NA,0.186812182529402,0.119378127594874,0.945358811010595,0.959529438311254,169.43982217715,346.199621970784,0,0,16,"coarse",6,3,2,6
4,0.282314853789674,5.01173117297847,-0.19170925746205,0.0906002292893753,0.565972222222222,TRUE,NA,0.136585187257705,0.0757718863816508,0.944249870382017,0.959529438311254,166.8256861371,346.199621970784,0,0,16,"coarse",6,3,2,6
5,0.269316934398389,3.87565067802604,-0.070637865106434,-0.0370000221400896,0.59375,TRUE,NA,0.151452150820766,0.0959397620324134,0.952320553758228,0.959529438311254,118.958863123048,346.199621970784,0,0,16,"coarse",6,3,2,6
6,0.274531465637046,3.62698982296236,-0.139886983232978,-0.0222196077681538,0.579861111111111,TRUE,NA,0.123360791685958,0.0707289720880351,0.943188353555864,0.959529438311254,194.540903720202,346.199621970784,0,0,16,"coarse",6,3,2,6
7,0.233254723566558,3.35910561068692,-0.327845755707476,0.120283226305615,0.553819444444444,TRUE,NA,0.153712870266989,0.126354743160023,0.942164478459941,0.959529438311254,208.807634947325,346.199621970784,0,0,16,"coarse",6,3,2,6
8,0.247141457733309,3.89662913759234,-0.175450581393535,-0.0133466885917322,0.583333333333333,TRUE,NA,0.168445125396958,0.139436633171783,0.949283802150082,0.959529438311254,165.966817026457,346.199621970784,0,0,16,"coarse",6,3,2,6
9,0.267619785679911,3.29746339445312,-0.0929295853574584,0.0638980883500854,0.579861111111111,TRUE,NA,0.107885502321634,0.068049118447167,0.944593825121936,0.959529438311254,223.343279093197,607.49896386614,0,0,16,"coarse",6,3,2,6
10,0.310924137313959,4.251293852918,0.121709143814791,0.0656494774431836,0.595486111111111,TRUE,NA,0.127607787606638,0.109134483223692,0.946908652397543,0.959529438311254,186.377623534101,607.49896386614,0,0,16,"coarse",6,3,2,6
11,0.280691811199815,4.03066463765957,-0.00927885067146834,-0.0731922303609775,0.588541666666667,TRUE,NA,0.197786290449058,0.141619496349619,0.946402082467062,0.959529438311254,170.105981903378,346.199621970784,0,0,16,"coarse",6,3,2,6
12,0.288208709757343,4.61549347718564,0.072081385331097,0.115722785578725,0.600694444444444,TRUE,NA,0.171131542872187,0.149972009824593,0.951422112176394,0.959529438311254,129.060728705098,346.199621970784,0,0,16,"coarse",6,3,2,6
13,0.257569329023411,4.8529753899458,-0.22593546215001,-0.0137277952821153,0.557291666666667,TRUE,NA,0.134844620024195,0.144529625029675,0.944283018273908,0.959529438311254,200.12599819169,607.49896386614,0,0,16,"coarse",6,3,2,6
14,0.332735142626735,4.05577577035908,0.0730717587983222,0.024127042909163,0.600694444444444,TRUE,NA,0.133556002117765,0.0969612415983526,0.947288102621725,0.959529438311254,160.776457193755,346.199621970784,0,0,16,"coarse",6,3,2,6
15,0.308759462823314,3.87315074197434,0.109845113192101,-0.0960962456204833,0.595486111111111,TRUE,NA,0.089164083970656,0.0886618580956238,0.947971649855258,0.959529438311254,199.621130911063,607.49896386614,0,0,16,"coarse",6,3,2,6
16,0.268737113287914,7.18561832445869,0.0119657707722712,-0.257490886138324,0.600694444444444,TRUE,NA,0.100684779836731,0.0769972167910551,0.948769827846906,0.959529438311254,138.216186833147,346.199621970784,0,0,16,"coarse",6,3,2,6
17,0.263119418315355,4.1017036828404,-0.0517563394739633,-0.14965389197536,0.578125,TRUE,NA,0.100345487006357,0.0894005958992642,0.951116858138453,0.959529438311254,151.986637308243,346.199621970784,0,0,16,"coarse",6,3,2,6
18,0.261330712523436,4.90026726481312,-0.243096920275053,0.0135357202416748,0.579861111111111,TRUE,NA,0.13316988639615,0.105738025632151,0.946519273720181,0.966709738742673,222.361894514734,1168.93469728719,0,0,16,"coarse",6,3,2,6
19,0.237929269672824,3.7795292309022,-0.289273647679457,-0.181287728781498,0.526041666666667,TRUE,NA,0.177697324751951,0.161616390384975,0.9494774740039,0.959529438311254,163.702495209051,346.199621970784,0,0,16,"coarse",6,3,2,6
20,0.340791840698583,3.3486851128591,-0.0455206764518068,0.0369653888012041,0.576388888888889,TRUE,NA,0.202699012232609,0.162974175929013,0.941232217655855,0.966709738742673,295.529003764836,1168.93469728719,0,0,16,"coarse",6,3,2,6
