"scenario","regime","global_hrf","hetero","method","mean_cor","success_rate"
"hard__mismatch__high","hard","mismatch","high","fmrilss_lss",0.28733996344049,1
"hard__mismatch__moderate","hard","mismatch","moderate","fmrilss_sbhm",0.319050950344632,1
"hard__mismatch__none","hard","mismatch","none","fmrilss_lss",0.224961837019654,1
"hard__nominal__high","hard","nominal","high","fmrilss_lss",0.268620286501486,1
"hard__nominal__moderate","hard","nominal","moderate","st_default",0.306474949296175,1
"hard__nominal__none","hard","nominal","none","st_default",0.351465604606971,1
"medium__mismatch__high","medium","mismatch","high","fmrilss_lss",0.275555867076245,1
"medium__mismatch__moderate","medium","mismatch","moderate","fmrilss_lss",0.307937033459482,1
"medium__mismatch__none","medium","mismatch","none","fmrilss_lss",0.295322476519677,1
"medium__nominal__high","medium","nominal","high","fmrilss_lss",0.284219687915672,1
"medium__nominal__moderate","medium","nominal","moderate","st_default",0.285196917776573,1
"medium__nominal__none","medium","nominal","none","st_default",0.346252369181297,1
