"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","hrf_regime","ar_regime","isi_regime","amp_regime","cell","oasis_variant"
1,"fmrilss_lss",0.516690264976246,2.17426004374809,0.116742299618298,-0.0935824711410983,0.655092592592593,TRUE,NA,"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3",NA
1,"hrfals_fastlss[r]",0.524193712295484,2.09049862028524,0.0708854223626696,-0.0124279576823231,0.655092592592593,TRUE,NA,"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3",NA
1,"hrfals_fastlss[cpp]",0.524193712295484,2.09049862028524,0.0708854223626698,-0.0124279576823236,0.655092592592593,TRUE,NA,"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3",NA
1,"hrfals_fit[ls_svd_only]",0.283341449679047,1.13119402586357,-0.900935953278282,-0.0116136929529716,0.594907407407407,TRUE,NA,"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3",NA
1,"hrfals_fit[ls_svd_1als]",0.330050075968337,1.36550179197203,-0.636956909752106,-0.0578646670077618,0.56712962962963,TRUE,NA,"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3",NA
1,"hrfals_fit[cf_als]",0.330050075968337,1.36549490416762,-0.63696094587086,-0.0578592781255475,0.56712962962963,TRUE,NA,"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3",NA
1,"fmrilss_sbhm",0.440296204347311,3.24239846426102,0.360324101109299,-0.190127675178737,0.618055555555556,TRUE,NA,"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3",NA
1,"fmrilss_oasis_best",0.517762911567598,2.05300929342438,0.0598343624840646,-0.0828208257038958,0.655092592592593,TRUE,NA,"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3","fmrilss_oasis[fractional|x=0.05|b=0.05]"
1,"st_default",0.33646757835015,0.965246990924637,-0.897611001377534,-0.0175058153229525,0.627314814814815,TRUE,NA,"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1",NA
1,"fmrilss_lss",0.303315007606328,3.03444166918981,-0.0615030960650065,-0.00160045611624722,0.611111111111111,TRUE,NA,"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1",NA
1,"hrfals_fastlss[r]",0.310181054392942,2.78332210402702,-0.219777722015299,-0.274590114927366,0.648148148148148,TRUE,NA,"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1",NA
1,"hrfals_fastlss[cpp]",0.310181054392942,2.78332210402702,-0.219777722015299,-0.274590114927366,0.648148148148148,TRUE,NA,"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1",NA
1,"hrfals_fit[ls_svd_only]",0.096467153795144,1.03285617000997,-0.980336251403977,0.00648602614335372,0.527777777777778,TRUE,NA,"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1",NA
1,"hrfals_fit[ls_svd_1als]",0.0807060787504783,1.45053018273381,-0.910483591581724,-0.190993260423176,0.513888888888889,TRUE,NA,"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1",NA
1,"hrfals_fit[cf_als]",0.0807060787504783,1.45053556434285,-0.910483073074691,-0.190990017880009,0.513888888888889,TRUE,NA,"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1",NA
1,"fmrilss_sbhm",0.229467376208004,4.66467842831946,0.119366699791051,-0.0380639612872083,0.571759259259259,TRUE,NA,"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1",NA
1,"fmrilss_oasis_best",0.304165156889492,2.83223679981701,-0.12201966400215,-0.0161011401578348,0.608796296296296,TRUE,NA,"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1","fmrilss_oasis[fractional|x=0.05|b=0.05]"
1,"st_default",0.343095182199792,1.0069143320041,-0.938178476080444,0.014101930582276,0.606481481481482,TRUE,NA,"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","nominal","ar_mod","isi_mid","amp_high","h1_r2_c2",NA
1,"fmrilss_lss",0.347716003776164,2.8193885103521,-0.00197702685566694,0.170232481893501,0.599537037037037,TRUE,NA,"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","nominal","ar_mod","isi_mid","amp_high","h1_r2_c2",NA
1,"hrfals_fastlss[r]",0.342863886366146,2.67297479623512,-0.107263357518442,0.359503776808241,0.604166666666667,TRUE,NA,"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","nominal","ar_mod","isi_mid","amp_high","h1_r2_c2",NA
1,"hrfals_fastlss[cpp]",0.342863886366147,2.67297479623512,-0.107263357518443,0.359503776808241,0.604166666666667,TRUE,NA,"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","nominal","ar_mod","isi_mid","amp_high","h1_r2_c2",NA
1,"hrfals_fit[ls_svd_only]",-0.00613671343796444,1.07839725771845,-1.00354781147988,0.00671475625392016,0.518518518518518,TRUE,NA,"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","nominal","ar_mod","isi_mid","amp_high","h1_r2_c2",NA
