"density","n_atoms","n_lags","n_widths","sbhm_rank","n","success_rate","mean_cor","mean_rmse","mean_margin","margin_cor_pearson","margin_cor_spearman","margin_lm_slope"
"coarse",6,3,2,6,30,1,0.274911784541105,4.08755919434078,0.147582508761359,-0.0177479697613938,-0.11412680756396,-0.0160929843909427
"dense",42,7,6,8,30,1,0.23356107884817,3.98917022764953,0.0633897301482269,-0.064992467210519,-0.092769744160178,-0.139191502678222
"moderate",15,5,3,8,30,1,0.242807752412228,4.12537203771389,0.0674030217606242,0.108871315975936,0.117686318131257,0.303933092738822
"very_dense",130,13,10,8,30,1,0.223419748145023,3.93331638983563,0.0376241226207239,-0.240207735517628,-0.240489432703003,-0.685878426850528
