"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate"
"r1_c2__ar_iid__isi_mid__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.02]",6,0.408441145777072,0.410634406131381,0.0186313168891753,2.24159949463951,2.27737409038359,0.150979289175113,1
"r1_c2__ar_iid__isi_mid__amp_mod","fmrilss_lss",6,0.408191047132656,0.410311162324719,0.0186212604160399,2.29608224336438,2.33458175882328,0.156697275089999,1
"r1_c2__ar_iid__isi_mid__amp_mod","fmrilss_oasis[absolute|x=0|b=0]",6,0.408191047132656,0.410311162324719,0.0186212604160399,2.29608224336438,2.33458175882328,0.156697275089999,1
"r1_c2__ar_iid__isi_mid__amp_mod","fmrilss_sbhm",6,0.154664244571521,0.153528766492239,0.0506269530447218,3.62295072809546,3.54056995288085,0.510313448721126,1
"r1_c2__ar_iid__isi_mid__amp_mod","st_default",6,NA,NA,NA,NA,NA,NA,0
"r1_c1__ar_iid__isi_dense__amp_none","st_default",6,0.374669767531496,0.371342542709278,0.024323139610246,0.939300962026328,0.941781100904628,0.0264186917452095,1
"r1_c1__ar_iid__isi_dense__amp_none","fmrilss_lss",6,0.363953310259364,0.362612865259255,0.0213635338890972,2.49073917625686,2.46674003257923,0.238960261883963,1
"r1_c1__ar_iid__isi_dense__amp_none","fmrilss_oasis[fractional|x=0.02|b=0.02]",6,0.172271110674011,0.182477201904662,0.0356835887771366,4.35720934915792,4.35711663355603,0.141044083292853,1
"r1_c1__ar_iid__isi_dense__amp_none","fmrilss_oasis[absolute|x=0|b=0]",6,0.13225728942673,0.130401703865407,0.0335730772307099,6.69231377987089,6.80097583759456,0.313338034384917,1
"r1_c1__ar_iid__isi_dense__amp_none","fmrilss_sbhm",6,0.111614549531675,0.0955722798418079,0.0678142813710266,4.92942846650811,4.85235821228768,1.2484894072545,1
