"scenario","primary_st","mean_cor_st","mean_cor_lss","mean_rmse_st","mean_rmse_lss","delta_cor_mean","delta_cor_ci_lo","delta_cor_ci_hi","delta_rmse_mean","delta_rmse_ci_lo","delta_rmse_ci_hi","st_better_corr_rate","st_better_rmse_rate"
"r1_c1__ar_iid__isi_dense__amp_none","st_default",0.374669767531496,0.363953310259364,0.939300962026328,2.49073917625686,0.0107164572721317,0.000348990929201265,0.02703612453448,-1.55143821423053,-1.97302320529469,-1.20807385811955,1,1
"r1_c2__ar_iid__isi_mid__amp_mod","st_default",NA,0.408191047132656,NA,2.29608224336438,NA,NA,NA,NA,NA,NA,NA,NA
"r1_c3__ar_iid__isi_sparse__amp_high","st_default",0.517027979043785,0.458400927618526,1.06533719088172,2.26518748578194,0.0586270514252589,0.0170777309118216,0.134224543601413,-1.19985029490022,-1.39149540144171,-1.02702631034664,1,1
"r2_c1__ar_mod__isi_dense__amp_mod","st_default",0.348690026682428,0.330001733512225,1.03566788460941,2.89901445064256,0.0186882931702025,-0.000885005030841268,0.0385050359179336,-1.86334656603315,-2.09600450136079,-1.50672216956801,0.833333333333333,1
"r2_c2__ar_mod__isi_mid__amp_high","st_default",NA,0.319271051576329,NA,3.27820723780506,NA,NA,NA,NA,NA,NA,NA,NA
"r2_c3__ar_mod__isi_sparse__amp_none","st_default",NA,0.377407281028511,NA,2.36377243655913,NA,NA,NA,NA,NA,NA,NA,NA
"r3_c1__ar_high__isi_dense__amp_high","st_default",0.340177686119999,0.29010204878267,1.27844323207008,3.9704488306233,0.050075637337329,0.0279587168549793,0.0725238036010626,-2.69200559855322,-3.07573045679255,-2.30240299204386,1,1
"r3_c2__ar_high__isi_mid__amp_none","st_default",NA,0.317551200588441,NA,3.45894800489309,NA,NA,NA,NA,NA,NA,NA,NA
"r3_c3__ar_high__isi_sparse__amp_mod","st_default",0.36763950226271,0.351061971286784,1.05869658581103,2.8695013194684,0.0165775309759263,-0.0107963126478569,0.0393184349786099,-1.81080473365737,-2.06595266663552,-1.48306050680754,0.833333333333333,1
