"scenario","regime","global_hrf","hetero","method","mean_cor","ci_cor_lo","ci_cor_hi","mean_rmse","mean_sign_acc","mean_abs_slope_bias","success_rate"
"hard__mismatch__high","hard","mismatch","high","fmrilss_lss",0.249688564095756,0.154058435865715,0.371351124477747,3.32418289214248,0.570987654320988,0.302155820580688,1
"hard__mismatch__moderate","hard","mismatch","moderate","fmrilss_lss",0.253787771046072,0.154693595056731,0.373893023757487,3.46789289574335,0.577353395061728,0.251966231447906,1
"hard__mismatch__none","hard","mismatch","none","fmrilss_lss",0.243318214138331,0.141584542675755,0.360003977740567,3.42800332729675,0.569058641975309,0.285519171466887,1
"hard__nominal__high","hard","nominal","high","fmrilss_lss",0.285311044565145,0.194478800503831,0.404836224076378,3.54095893618982,0.584297839506173,0.204263785471784,1
"hard__nominal__moderate","hard","nominal","moderate","fmrilss_lss",0.298255633917097,0.215005172436952,0.419929277428335,3.6740543528817,0.587770061728395,0.198566207001165,1
"hard__nominal__none","hard","nominal","none","fmrilss_lss",0.314417993912676,0.22320978888358,0.434484866784165,3.68101530318137,0.588541666666667,0.212415479060149,1
"medium__mismatch__high","medium","mismatch","high","fmrilss_lss",0.255809294101224,0.208664768534596,0.323171740359366,3.06996424168922,0.586998456790124,0.230335076487908,1
"medium__mismatch__moderate","medium","mismatch","moderate","fmrilss_lss",0.316526825820065,0.244228715389468,0.411684259512001,2.56468641234806,0.612268518518518,0.201123343389002,1
"medium__mismatch__none","medium","mismatch","none","fmrilss_lss",0.270688517210455,0.186161840807162,0.369890655161577,3.24598648695722,0.592399691358025,0.185213897622258,1
"medium__nominal__high","medium","nominal","high","fmrilss_lss",0.333959621784903,0.275737535350047,0.404593042561834,2.91234253648728,0.612461419753086,0.121915385732148,1
"medium__nominal__moderate","medium","nominal","moderate","fmrilss_lss",0.347811812503043,0.271894981756116,0.428157003339583,2.81184518335714,0.611304012345679,0.179979745376648,1
"medium__nominal__none","medium","nominal","none","fmrilss_lss",0.333140966834735,0.257768184823441,0.449326446869389,3.32128395273307,0.610146604938272,0.229020029982544,1
"hard__mismatch__high","hard","mismatch","high","fmrilss_oasis_best",0.111018919165121,0.00768395106757636,0.200722249614494,3.96360885998702,0.523148148148148,0.624880572016802,1
"hard__mismatch__moderate","hard","mismatch","moderate","fmrilss_oasis_best",0.107610786812978,0.00116940844074656,0.22201458168355,3.96223145480062,0.529320987654321,0.639251316944322,1
"hard__mismatch__none","hard","mismatch","none","fmrilss_oasis_best",0.107551100328029,0.00650636575648383,0.214699668944235,4.06534081285059,0.525848765432099,0.629213053921484,1
"hard__nominal__high","hard","nominal","high","fmrilss_oasis_best",0.154698018623366,0.0924743911838717,0.225246440701255,4.01446601950468,0.538194444444444,0.450270258879732,1
"hard__nominal__moderate","hard","nominal","moderate","fmrilss_oasis_best",0.16942684510711,0.110419311186574,0.239438352837671,4.17419689743586,0.543788580246914,0.374756140585245,1
"hard__nominal__none","hard","nominal","none","fmrilss_oasis_best",0.17626685200001,0.120949892358895,0.282048623736828,4.09796620569298,0.545524691358025,0.374283330325938,1
"medium__mismatch__high","medium","mismatch","high","fmrilss_oasis_best",0.139040145282145,0.0486701499318195,0.231124660834473,3.01598573988471,0.540509259259259,0.588888314253447,1
"medium__mismatch__moderate","medium","mismatch","moderate","fmrilss_oasis_best",0.179991435356404,0.010978629392871,0.284633569205516,2.99932245944461,0.557484567901235,0.495608520946905,1
"medium__mismatch__none","medium","mismatch","none","fmrilss_oasis_best",0.159746365811745,0.0707281927155426,0.2562612921024,3.19669623061437,0.55054012345679,0.505042132575591,1
"medium__nominal__high","medium","nominal","high","fmrilss_oasis_best",0.204699050326561,0.119131397790937,0.288320719054557,2.87341020236058,0.564236111111111,0.433170980187354,1
"medium__nominal__moderate","medium","nominal","moderate","fmrilss_oasis_best",0.241352919884119,0.146343706697421,0.347089076066798,2.67354483506511,0.573302469135803,0.357090581175092,1
"medium__nominal__none","medium","nominal","none","fmrilss_oasis_best",0.21422376331844,0.133795554157674,0.30816519293771,3.14669398363658,0.565586419753086,0.333838098878072,1
"hard__mismatch__high","hard","mismatch","high","fmrilss_sbhm",0.203143967859874,0.0998690366792998,0.321519554848785,5.09789782340587,0.566550925925926,0.415885223948575,1
"hard__mismatch__moderate","hard","mismatch","moderate","fmrilss_sbhm",0.20908939057134,0.102192938656584,0.371945606398469,5.20507087526275,0.564814814814815,0.34051253368369,1
"hard__mismatch__none","hard","mismatch","none","fmrilss_sbhm",0.2086833443762,0.132538548071708,0.370808569610661,5.44962810405345,0.568287037037037,0.353074401197284,1
"hard__nominal__high","hard","nominal","high","fmrilss_sbhm",0.186546673426803,0.10880655564742,0.264495278304815,5.23153559653543,0.55883487654321,0.312474067111381,1
"hard__nominal__moderate","hard","nominal","moderate","fmrilss_sbhm",0.202502589734033,0.146593548704718,0.32851419750541,5.87612073998717,0.562114197530864,0.333998060929053,1
"hard__nominal__none","hard","nominal","none","fmrilss_sbhm",0.212443969653878,0.143113565000585,0.36271028480081,5.67548218510302,0.568479938271605,0.297102712977515,1
"medium__mismatch__high","medium","mismatch","high","fmrilss_sbhm",0.222038348849059,0.146909098606346,0.299938445016126,4.67301754898825,0.575617283950617,0.247085626426634,1
"medium__mismatch__moderate","medium","mismatch","moderate","fmrilss_sbhm",0.249602619254163,0.110186823557027,0.303220157551965,4.32382007916578,0.580246913580247,0.269163118042935,1
"medium__mismatch__none","medium","mismatch","none","fmrilss_sbhm",0.222043572225191,0.130718986270996,0.301356263846843,4.75656486234837,0.572145061728395,0.277452855243128,1
"medium__nominal__high","medium","nominal","high","fmrilss_sbhm",0.218315073174942,0.128956504224545,0.37255915591783,4.6650043775393,0.571373456790124,0.363074992369551,1
"medium__nominal__moderate","medium","nominal","moderate","fmrilss_sbhm",0.226440362508492,0.116301137348139,0.332693770702104,4.32910047464602,0.585648148148148,0.342568643799264,1
"medium__nominal__none","medium","nominal","none","fmrilss_sbhm",0.232200725676587,0.145256163594206,0.348394540059247,4.91503204686789,0.577932098765432,0.325605423661316,1
"hard__mismatch__high","hard","mismatch","high","st_default",0.246704682313039,0.110570129781862,0.331671214649914,1.21601171959931,0.587962962962963,0.95638693317602,1
"hard__mismatch__moderate","hard","mismatch","moderate","st_default",0.252802600473269,0.129979322028689,0.350580389065942,1.21455135299406,0.588155864197531,0.953101856797889,1
"hard__mismatch__none","hard","mismatch","none","st_default",0.236022183521063,0.106202527458757,0.327529135460538,1.20434736631165,0.541087962962963,0.958190310458008,1
"hard__nominal__high","hard","nominal","high","st_default",0.304582702290705,0.184653702680827,0.384236068054852,1.159967453183,0.596836419753086,0.931915766695119,1
"hard__nominal__moderate","hard","nominal","moderate","st_default",0.292246847907756,0.0589950132631139,0.41211748688391,1.166658166111,0.50366512345679,0.942185964666551,1
"hard__nominal__none","hard","nominal","none","st_default",0.324816666344378,0.098610457270452,0.440420788951987,1.1664207641295,0.555362654320988,0.931106529763795,1
"medium__mismatch__high","medium","mismatch","high","st_default",0.255718779808416,0.199346017986665,0.304472265469627,1.04610255922839,0.591820987654321,0.946398427961512,1
"medium__mismatch__moderate","medium","mismatch","moderate","st_default",0.324511738434566,0.272047861637091,0.407152788448473,1.02826216418605,0.614969135802469,0.924925881105307,1
