"scenario","method_a","method_b","n","delta_cor_mean","delta_cor_ci_lo","delta_cor_ci_hi","delta_rmse_mean","delta_rmse_ci_lo","delta_rmse_ci_hi","delta_sign_acc_mean","delta_sign_acc_ci_lo","delta_sign_acc_ci_hi","delta_abs_slope_bias_mean","delta_abs_slope_bias_ci_lo","delta_abs_slope_bias_ci_hi","delta_abs_intercept_bias_mean","delta_abs_intercept_bias_ci_lo","delta_abs_intercept_bias_ci_hi","hrf_regime","ar_regime","isi_regime","amp_regime","cell","comparison"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default","fmrilss_lss",2,0.0175065889248037,0.0151082582823248,0.0199049195672826,-1.45038589399971,-1.64962845519847,-1.25114333280096,-0.0208333333333334,-0.0277777777777778,-0.013888888888889,0.810108044665156,0.773424454947989,0.846791634382324,0.00338324769284327,0.00305620501595761,0.00371029036972892,"nominal","ar_iid","isi_dense","amp_none","h1_r1_c1","st_default - fmrilss_lss"
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default","fmrilss_lss",2,0.0163733592985712,0.0162298083912885,0.0165169102058539,-1.44996293583667,-1.47972247706947,-1.42020339460386,0.00810185185185186,-0.00231481481481477,0.0185185185185185,0.821055912734747,0.78492650899179,0.857185316477704,-0.000301890189553336,-0.0115897204097287,0.010985940030622,"nominal","ar_iid","isi_mid","amp_mod","h1_r1_c2","st_default - fmrilss_lss"
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default","fmrilss_lss",2,0.0640349225784679,0.0314193064352598,0.096650538721676,-1.12255983954678,-1.13863246691853,-1.10648721217504,0.00231481481481483,0,0.00462962962962965,0.731215081624336,0.673889641857038,0.788540521391634,-0.0900911573542253,-0.131855414537771,-0.0483269001706798,"nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3","st_default - fmrilss_lss"
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default","fmrilss_lss",2,0.00235192546623619,-0.0134634232802738,0.0181672742127462,-2.22305654073456,-2.26344083841639,-2.18267224305274,0.0266203703703703,-0.00462962962962965,0.0578703703703703,0.925399540440253,0.923813793544335,0.926985287336171,-0.0206546440096118,-0.0289040097257486,-0.012405278293475,"nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1","st_default - fmrilss_lss"
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_default","fmrilss_lss",2,0.0361257851154478,0.00628255376997733,0.0659690164609182,-1.79567345852344,-1.87351848633784,-1.71782843070903,0.0138888888888888,0.00694444444444442,0.0208333333333333,0.866193602450303,0.792353834526877,0.940033370373729,-0.108472439854228,-0.207597238141466,-0.00934764156698904,"nominal","ar_mod","isi_mid","amp_high","h1_r2_c2","st_default - fmrilss_lss"
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_default","fmrilss_lss",2,0.0245268565215152,0.0143039656755562,0.0347497473674743,-1.41086643976076,-1.52878057113044,-1.29295230839108,0.0219907407407408,0.0162037037037037,0.0277777777777778,0.683444794853004,0.666352720929196,0.700536868776812,-0.0215010447612971,-0.0508197175671356,0.00781762804454134,"nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3","st_default - fmrilss_lss"
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default","fmrilss_lss",2,0.0295541551835877,0.00956800892037707,0.0495403014467984,-2.28318035392821,-2.55910562301214,-2.00725508484428,0.00925925925925924,-0.00462962962962965,0.0231481481481481,0.804369768194393,0.739114972287154,0.869624564101633,-0.0261484906245758,-0.0631598743715482,0.0108628931223967,"nominal","ar_high","isi_dense","amp_high","h1_r3_c1","st_default - fmrilss_lss"
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default","fmrilss_lss",2,0.030284871327681,0.0277078779157823,0.0328618647395796,-1.91611372733928,-2.0585540481836,-1.77367340649496,0.00694444444444448,0.00231481481481488,0.0115740740740741,0.800022061536003,0.796705624989685,0.803338498082322,-0.0494487398074051,-0.0521740667075415,-0.0467234129072688,"nominal","ar_high","isi_mid","amp_none","h1_r3_c2","st_default - fmrilss_lss"
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default","fmrilss_lss",2,0.0501401303646743,0.0387262801587547,0.0615539805705939,-1.66809127403484,-1.75566954136838,-1.5805130067013,0.00810185185185186,-0.0231481481481481,0.0393518518518519,0.496263059462262,0.449089589173214,0.54343652975131,-0.00426223236206495,-0.0234004390957069,0.014875974371577,"nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3","st_default - fmrilss_lss"
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","st_default","fmrilss_lss",2,-0.0010295844878669,-0.0103124288727717,0.0082532598970379,-1.53224468039081,-1.54875080732406,-1.51573855345756,0.0231481481481482,0.0115740740740741,0.0347222222222223,0.626934096287455,0.579832019634768,0.674036172940143,-0.0135481158400392,-0.0272966122409755,0.000200380560897193,"lag2_widen1p5","ar_iid","isi_dense","amp_none","h2_r1_c1","st_default - fmrilss_lss"
