"method","mean_cor"
"hrfals_fastlss[cpp]",0.385827289287886
"hrfals_fastlss[r]",0.385827289287886
"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.382713457652603
"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.38265266841621
"fmrilss_oasis[fractional|x=0.01|b=0.05]",0.382631217589886
"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.382441584807016
"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.382376769286832
"fmrilss_oasis[fractional|x=0.01|b=0.02]",0.382353887770391
"fmrilss_oasis[fractional|x=0.05|b=0.01]",0.38234395916342
"fmrilss_oasis[fractional|x=0.02|b=0.01]",0.38227768255051
"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.382259047697782
"fmrilss_oasis[fractional|x=0.01|b=0.01]",0.382254281713451
"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.382254163884905
"fmrilss_oasis[absolute|x=0.05|b=0.01]",0.382252533246223
"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.382186623671246
"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.382181689254699
"fmrilss_oasis[absolute|x=0.02|b=0.01]",0.38218004172851
"fmrilss_oasis[absolute|x=0.01|b=0.05]",0.382160939026235
"fmrilss_oasis[absolute|x=0.01|b=0.02]",0.382155986505954
"fmrilss_oasis[absolute|x=0.01|b=0.01]",0.382154332938151
"fmrilss_lss",0.38212613015446
"fmrilss_sbhm",0.366590618661449
"st_pool_joint_mult",0.236853064848143
"st_pool_mean",0.235518744565166
"st_pool_compcv_wB",0.157424878232399
"hrfals_fit[cf_als]",0.151673935510181
"hrfals_fit[ls_svd_1als]",0.151673935510181
"st_pool_compcv_wnever",0.139065608241345
"st_pool_compcv",0.102217242937881
"hrfals_fit[ls_svd_only]",0.089552287298658
