"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","regime","lag","widen"
1,"st_default",0.580495133508947,0.813349870660484,-0.526189340650575,-0.0444973852108907,0.680555555555556,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"fmrilss_lss",0.537036913972535,1.47271411671887,-0.0556170077840285,-0.0889970431608648,0.666666666666667,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"hrfals_fastlss[r]",0.53233613389614,1.44767189183792,-0.0557480051125454,-0.0159985425039864,0.673611111111111,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"hrfals_fastlss[cpp]",0.53233613389614,1.44767189183792,-0.0557480051125455,-0.0159985425039865,0.673611111111111,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"hrfals_fit[ls_svd_only]",0.101181820421332,1.02946461538547,-0.942658413047889,0.0355716865544154,0.530092592592593,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"hrfals_fit[ls_svd_1als]",0.173212496832067,1.09979303323662,-0.856705332170075,0.00151798611558266,0.5625,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"hrfals_fit[cf_als]",0.173212496832067,1.09982553323444,-0.856695892717604,0.00150668013018608,0.5625,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.536889164059938,1.39982244854052,-0.10242974386497,-0.0813311435559489,0.668981481481482,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"fmrilss_sbhm",0.438373035290751,2.19805639901895,0.100290397704102,-0.0373067503334367,0.641203703703704,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"st_default",0.632075474100006,0.810884502727748,-0.469216700539249,-0.0559892840993294,0.712962962962963,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"fmrilss_lss",0.602115045308031,1.47016762345566,0.0642567271181674,0.112949097320833,0.710648148148148,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"hrfals_fastlss[r]",0.602361487430383,1.44113240401575,0.0827985952750561,0.0143550526074834,0.699074074074074,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"hrfals_fastlss[cpp]",0.602361487430383,1.44113240401575,0.082798595275056,0.0143550526074835,0.699074074074074,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"hrfals_fit[ls_svd_only]",0.0619240081982893,1.07781129785226,-0.962375584177387,0.0180942029163358,0.520833333333333,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"hrfals_fit[ls_svd_1als]",0.152044402841184,1.17211579211405,-0.8642114789783,0.00816767017664894,0.550925925925926,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"hrfals_fit[cf_als]",0.152044402841184,1.17209215824129,-0.864200911342539,0.00817459103877587,0.550925925925926,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.602301093744306,1.39396104686833,0.0124941004085507,0.102836367751174,0.715277777777778,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"fmrilss_sbhm",0.536988941353374,2.30436382528517,0.396712750188715,0.163886424558918,0.662037037037037,TRUE,NA,"easy__lag0__widen0","easy",0,0
3,"st_default",0.577216053970544,0.805853877922381,-0.529840076239584,-0.00787244691677588,0.696759259259259,TRUE,NA,"easy__lag0__widen0","easy",0,0
3,"fmrilss_lss",0.535587301224854,1.42978988162091,-0.072645066339212,0.0187141465477758,0.652777777777778,TRUE,NA,"easy__lag0__widen0","easy",0,0
