"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate","oasis_variant"
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","fmrilss_lss",6,0.322592937726258,0.331205857751876,0.0396563033274207,3.4495459662589,3.4528649611555,0.190850554891693,1,NA
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","fmrilss_sbhm",6,0.180168782264047,0.16827308289127,0.0372214099047428,3.52584859700968,3.45616607448681,0.270934768243377,1,NA
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","fmrilss_oasis_best",6,0.267266430955342,0.269072691186083,0.0502583704019423,3.14820592208613,3.16738374547835,0.157274561339437,1,"fmrilss_oasis[absolute|x=0.05|b=0.05]"
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default",6,0.36763950226271,0.37599164786735,0.0569950963843878,1.05869658581103,1.0599814967173,0.0518091564700524,1,NA
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","fmrilss_lss",6,0.352921438712492,0.362653307656489,0.0551475529714854,2.92644128856446,2.94540987549194,0.218718440498531,1,NA
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",6,0.166509167531707,0.168596512679624,0.0239359464757207,3.05499216628468,3.03621011168445,0.338749560615173,1,NA
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","fmrilss_oasis_best",6,0.269280413003386,0.272609433221521,0.0368706296665572,3.11373597182165,3.14328387593402,0.192469402498875,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_sbhm",6,0.263617780573307,0.272585992641681,0.0512048222274614,2.52754969408529,2.52584698400153,0.328675362339988,1,NA
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_lss",6,0.261078398276293,0.25608738884228,0.0546332961240087,2.60083270675918,2.48709621366515,0.340341776576953,1,NA
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","st_default",6,0.243830380395155,0.243544638072126,0.0443540514818457,0.9829333872731,0.981792288158308,0.0204357653916751,1,NA
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_oasis_best",6,0.156957055736386,0.178152424250884,0.0563630400664672,3.03502630917301,3.02015175497775,0.207562500209007,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_lss",6,0.353579901947546,0.380159393825465,0.0519616532049777,2.3357783114714,2.32890427180762,0.15938975050618,1,NA
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","st_default",6,0.342764776580804,0.354058542135037,0.0525418027191832,1.07664636075794,1.06391392359684,0.0614493678297792,1,NA
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_sbhm",6,0.304366762578549,0.302675367248956,0.0332643057956548,2.8103228095978,2.51296463253772,0.847625889493565,1,NA
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_oasis_best",6,0.353913955709349,0.3802769600684,0.0519262745526192,2.21071871505113,2.20461647257873,0.145288447119405,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_lss",6,0.378775609488051,0.37594456460846,0.0422604875625242,2.5836423663773,2.37521656805997,0.462947146231975,1,NA
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","st_default",6,0.374247604570205,0.37640023819689,0.0619388870480255,1.29510924456948,1.22120491430929,0.221093948168009,1,NA
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_sbhm",6,0.349534174532238,0.358274696374367,0.0243223579574393,2.81754000830448,2.54101847045801,0.573800630934436,1,NA
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_oasis_best",6,0.283287080712835,0.27580000645653,0.0815367826680804,2.80175824083946,2.72174090198657,0.372661910188278,1,"fmrilss_oasis[absolute|x=0.05|b=0.05]"
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_lss",6,0.240786926082449,0.233518631551561,0.0409705809693892,3.22134117203735,3.20346003947696,0.311779510741386,1,NA
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_sbhm",6,0.235985276173923,0.24525838663474,0.0585626782416231,3.31777202374598,3.28592253994427,0.492188875049921,1,NA
