"density","margin_bin","n","mean_margin","mean_cor","mean_rmse"
"coarse",1,6,0.100556245468839,0.27254553939526,4.3386430529939
"coarse",2,6,0.13252268947835,0.292408587600247,4.50443181604577
"coarse",3,6,0.147949881289493,0.260551458373411,4.04597520680138
"coarse",4,6,0.166065605735395,0.274815409249181,3.85031813152953
"coarse",5,6,0.190818121834719,0.274237928087427,3.69842776433331
"dense",1,6,0.0372587084808105,0.237214489151307,3.73764980694886
"dense",2,6,0.0546221227830176,0.242573153820844,3.9827495631523
"dense",3,6,0.0609543031075531,0.245360990239994,4.04073793362523
"dense",4,6,0.0737310487336267,0.211395999377709,3.94974257405263
"dense",5,6,0.0903824676361266,0.231260761650999,4.23497126046861
"moderate",1,6,0.0488156905796148,0.251377531347861,4.07402340141528
"moderate",2,6,0.0593892613073809,0.226842541434007,4.54158790937134
"moderate",3,6,0.0677042640464758,0.230560417575915,4.17041316719555
"moderate",4,6,0.0750494832400721,0.252289103194948,3.87466740254108
"moderate",5,6,0.0860564096295775,0.252969168508406,3.9661683080462
"very_dense",1,6,0.0212632302271837,0.24197555065461,3.8167947062372
"very_dense",2,6,0.0309666160689799,0.230314425634787,3.64094027431373
"very_dense",3,6,0.034841444931887,0.228958203971658,3.89670265867231
"very_dense",4,6,0.0427600425098024,0.201552246225749,4.08676832211879
"very_dense",5,6,0.0582892793657661,0.214298314238312,4.22537598783611
