"rep","ok","message","mean_margin","median_margin","mean_rho","max_rho","mean_kappa","max_kappa","method_global_ls","method_lss1","method_oasis_voxel","scenario"
1,TRUE,NA,0.0157650755916226,0.0110959604133579,1,1,274710531.617115,317311697.144882,0,0,12,"medium__nominal__none"
2,TRUE,NA,0.00650875300887166,0.00230918447517398,1,1,296962858.105401,373247837.325866,0,0,12,"medium__nominal__none"
3,TRUE,NA,0.0104807263872331,0.00514319242001482,1,1,281059832.5481,316661646.48669,0,0,12,"medium__nominal__none"
4,TRUE,NA,0.0103287939949361,0.00404589397671135,1,1,301906043.331975,373247837.325866,0,0,12,"medium__nominal__none"
5,TRUE,NA,0.016036511942267,0.0104330586007283,1,1,281795909.090415,321821123.140793,0,0,12,"medium__nominal__none"
6,TRUE,NA,0.0108467031691045,0.00574295473910036,1,1,283341778.337231,317311697.144882,0,0,12,"medium__nominal__none"
7,TRUE,NA,0.0208971204831709,0.0146929482399487,1,1,277635063.908615,321821123.140793,0,0,12,"medium__nominal__none"
8,TRUE,NA,0.00508468453589578,0.00154551590857771,1,1,294471628.929294,373247837.325866,0,0,12,"medium__nominal__none"
9,TRUE,NA,0.00557669038471787,0.00235335572096307,1,1,309397021.148434,373247837.325866,0,0,12,"medium__nominal__none"
10,TRUE,NA,0.00813103082829635,0.00573871828070754,1,1,299162841.193713,373247837.325866,0,0,12,"medium__nominal__none"
11,TRUE,NA,0.0101008929229549,0.00372098483890204,1,1,284531950.831595,305771289.9469,0,0,12,"medium__nominal__none"
12,TRUE,NA,0.00952069117556211,0.00300594679267335,1,1,288893778.90848,352570736.846146,0,0,12,"medium__nominal__none"
1,TRUE,NA,0.0108348757104645,0.00380212027651833,1,1,273033805.057126,356756192.530405,0,0,12,"medium__nominal__moderate"
2,TRUE,NA,0.0137386332519153,0.00664245977890299,1,1,256927926.503755,354316705.729216,0,0,12,"medium__nominal__moderate"
3,TRUE,NA,0.00825132893258386,0.00364270987402232,1,1,272159371.373611,356756192.530405,0,0,12,"medium__nominal__moderate"
4,TRUE,NA,0.012310296037661,0.00649404075178245,1,1,249697696.9441,286043673.385075,0,0,12,"medium__nominal__moderate"
5,TRUE,NA,0.00580062024226586,0.00157209271456676,1,1,271515283.752329,356756192.530405,0,0,12,"medium__nominal__moderate"
6,TRUE,NA,0.0136414609177292,0.0108985415426811,1,1,266363542.781028,356756192.530405,0,0,12,"medium__nominal__moderate"
7,TRUE,NA,0.00645005907143046,0.000933928966630138,1,1,282128367.711227,356756192.530405,0,0,12,"medium__nominal__moderate"
8,TRUE,NA,0.0207263827651497,0.0207190805731378,1,1,271720602.583283,356756192.530405,0,0,12,"medium__nominal__moderate"
9,TRUE,NA,0.0152403766564136,0.00909281725464844,1,1,266467154.156852,356756192.530405,0,0,12,"medium__nominal__moderate"
10,TRUE,NA,0.0113139037717611,0.00396730832349518,1,1,280141622.650027,356756192.530405,0,0,12,"medium__nominal__moderate"
11,TRUE,NA,0.0161207319179028,0.0118743651849524,1,1,257423090.782309,286043673.385075,0,0,12,"medium__nominal__moderate"
12,TRUE,NA,0.0102741686558593,0.00440589175395678,1,1,266379202.673382,356756192.530405,0,0,12,"medium__nominal__moderate"
1,TRUE,NA,0.0121157803868171,0.00489461217424192,1,1,274155806.702496,346149788.319008,0,0,12,"medium__nominal__high"
2,TRUE,NA,0.00940579680814249,0.00647404246637939,1,1,272213414.193573,346149788.319008,0,0,12,"medium__nominal__high"
3,TRUE,NA,0.00876267419147628,0.00585345133057638,1,1,269693571.530342,346149788.319008,0,0,12,"medium__nominal__high"
4,TRUE,NA,0.00632270238949743,0.005293569359199,1,1,276859098.045997,346149788.319008,0,0,12,"medium__nominal__high"
5,TRUE,NA,0.008678016615658,0.00434878324125304,1,1,277333620.796867,346149788.319008,0,0,12,"medium__nominal__high"
6,TRUE,NA,0.01000783557896,0.00202598809369181,1,1,259132447.618437,285575232.802303,0,0,12,"medium__nominal__high"
7,TRUE,NA,0.00859848757989943,0.00415748681543049,1,1,272754779.92199,346149788.319008,0,0,12,"medium__nominal__high"
8,TRUE,NA,0.0112502248589186,0.00457461685387875,1,1,284662172.563955,346149788.319008,0,0,12,"medium__nominal__high"
9,TRUE,NA,0.0158688398259384,0.00412748337462071,1,1,267277730.514331,346149788.319008,0,0,12,"medium__nominal__high"
10,TRUE,NA,0.0130964933539402,0.0138011746565849,1,1,257892230.844689,287159313.849212,0,0,12,"medium__nominal__high"
11,TRUE,NA,0.00617090044167474,0.00562583841094555,1,1,280409814.348288,346149788.319008,0,0,12,"medium__nominal__high"
12,TRUE,NA,0.0101363865556955,0.00248173819062797,1,1,267787077.456355,346149788.319008,0,0,12,"medium__nominal__high"
1,TRUE,NA,0.0118279796509747,0.00750454931115269,0.995579932290814,0.997545215205118,19357.0645132948,138758.457656575,0,0,12,"medium__mismatch__none"
2,TRUE,NA,0.0229471522297144,0.012206398326162,0.994633952617373,0.997350805051588,18990.1096923546,163658.073997688,0,0,12,"medium__mismatch__none"
3,TRUE,NA,0.0129589071761961,0.00829628302288687,0.995326972833654,0.997392270860806,11102.5440172928,74930.2820111322,0,0,12,"medium__mismatch__none"
4,TRUE,NA,0.012045655929498,0.0102409834372331,0.995000098767694,0.997565918915342,7194.0686482574,42142.6185707992,0,0,12,"medium__mismatch__none"
