"method","mean_cor"
"st_default",0.329557187120713
"hrfals_fastlss[cpp]",0.324183024004559
"hrfals_fastlss[r]",0.324183024004559
"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.322136494197069
"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.321989163058404
"fmrilss_oasis[fractional|x=0.01|b=0.05]",0.321936880316381
"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.321830656422251
"fmrilss_oasis[fractional|x=0.05|b=0.01]",0.321718992960143
"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.321672480774198
"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.321625909665935
"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.321623739794055
"fmrilss_oasis[absolute|x=0.05|b=0.01]",0.32162301606972
"fmrilss_oasis[fractional|x=0.01|b=0.02]",0.32161628810179
"fmrilss_oasis[fractional|x=0.02|b=0.01]",0.321556811734536
"fmrilss_oasis[fractional|x=0.01|b=0.01]",0.321499173224002
"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.321448300436529
"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.32144604747576
"fmrilss_oasis[absolute|x=0.02|b=0.01]",0.321445296037581
"fmrilss_oasis[absolute|x=0.01|b=0.05]",0.321384854664572
"fmrilss_oasis[absolute|x=0.01|b=0.02]",0.321382571604583
"fmrilss_oasis[absolute|x=0.01|b=0.01]",0.321381810126914
"fmrilss_lss",0.321315231783099
"fmrilss_sbhm",0.308872636107298
"hrfals_fit[cf_als]",0.12165997296092
"hrfals_fit[ls_svd_1als]",0.12165997296092
"hrfals_fit[ls_svd_only]",0.0610878276675998
