"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate"
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",6,0.279454126997874,0.305953253636303,0.0590612875085409,3.10189493560529,3.13656657583048,0.244694291276625,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_lss",6,0.269118803164228,0.273006215322203,0.0420896985573813,2.94996850275132,2.91446975301504,0.172684781847172,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","st_default",6,0.248541582131272,0.243266794556577,0.0406283582688389,1.0421368665032,1.04722322291164,0.0601052369911181,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.05]",6,0.157655566653185,0.158979425731649,0.0371637411330411,3.37153770315022,3.39540489240085,0.163340727208292,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.02]",6,0.155310831961117,0.158511994704216,0.0373653550300036,3.39326187706673,3.42759665559494,0.160525193846747,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.01]",6,0.153504382723292,0.157878724486526,0.0374522224422654,3.41275987961306,3.45484078058924,0.158511290325354,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.05|b=0.05]",6,0.15337807021262,0.159793087474645,0.0376416410994675,3.36212615437258,3.41042033931033,0.151515875470912,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.05|b=0.02]",6,0.152981165031374,0.159601161915424,0.0376521317732079,3.36695031278916,3.4168881929453,0.151204501724816,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.05|b=0.01]",6,0.152842814077015,0.159533356053822,0.0376556574793282,3.36864710951183,3.41915755394731,0.151101311743802,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.05]",6,0.131902164877273,0.126761914927859,0.0378276784375858,4.38390440431105,4.46901390333893,0.209284728506745,1
