"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","regime","lag","widen"
"medium__lag3__widen2","fmrilss_sbhm",20,0.272668712905343,0.274856204549923,0.028338152448923,4.2159996375347,4.29307981776942,0.429559140277243,0.191256089379169,0.128828545640552,0.22159523321939,0.220041503217518,0.0208945270613051,-0.0294496192150615,0.111200899914741,0.0889873354011418,0.585532407407407,0.587962962962963,0.0177164735268782,1,"medium",3,2
"medium__lag3__widen2","hrfals_fastlss[cpp]",20,0.200133455997688,0.195956732097773,0.0266600145958297,2.70684993927125,2.69792042912279,0.217044361538897,-0.501658105314347,-0.525641527747471,0.096778440182626,0.501658105314347,0.091932871902069,0.0576470787905815,0.327295735624489,0.268598040401247,0.576851851851852,0.576388888888889,0.0177661491370097,1,"medium",3,2
"medium__lag3__widen2","hrfals_fastlss[r]",20,0.200133455997688,0.195956732097773,0.0266600145958298,2.70684993927125,2.69792042912279,0.217044361538897,-0.501658105314346,-0.52564152774747,0.096778440182626,0.501658105314346,0.0919328719020692,0.0576470787905815,0.327295735624489,0.268598040401247,0.576851851851852,0.576388888888889,0.0177661491370097,1,"medium",3,2
"medium__lag3__widen2","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.196816678713808,0.197247859583398,0.0299440348541949,2.64035683406473,2.66509585611687,0.19017848218333,-0.463680104993933,-0.48556762609446,0.108504752569255,0.463680104993933,0.0140664302763423,0.0227647416802662,0.0682461231126336,0.0573095491873152,0.560416666666667,0.560185185185185,0.0183486974627007,1,"medium",3,2
"medium__lag3__widen2","fmrilss_lss",20,0.1962996718875,0.197014479121124,0.0302126986982017,2.80384307874249,2.82853547610425,0.2049444246297,-0.428946294966932,-0.451983124583691,0.115926190067706,0.428946294966932,0.0100778951428657,0.0069121463815145,0.062909187035271,0.0504854492518808,0.559606481481482,0.554398148148148,0.0191750547841841,1,"medium",3,2
"medium__lag3__widen2","st_default",20,0.189728077693381,0.189198228013954,0.0337622412037278,1.03415542021155,1.0167505482508,0.0610021313065472,-0.967180478603509,-0.972201933972048,0.0171350566018652,0.967180478603509,0.00434399144138554,0.00466384508003126,0.0232341591906755,0.017854801773462,0.572916666666667,0.56712962962963,0.018798144696371,1,"medium",3,2
"medium__lag3__widen2","hrfals_fit[cf_als]",20,0.0665031666221097,0.0687281842478413,0.0652526352765541,1.51912979273787,1.53555012830008,0.123814116293433,-0.92656425228367,-0.941925673502041,0.0650746217368018,0.92656425228367,0.0311463530449025,0.0195182497787097,0.240032696294274,0.182605466427797,0.528009259259259,0.527777777777778,0.0270045483591991,1,"medium",3,2
"medium__lag3__widen2","hrfals_fit[ls_svd_1als]",20,0.0665031666221097,0.0687281842478413,0.0652526352765541,1.51912981883042,1.53555811528874,0.123812248712189,-0.926562383530371,-0.941926131058581,0.0650752509328391,0.926562383530371,0.0311475813763961,0.0195218309361727,0.24003542051976,0.182606853223323,0.528009259259259,0.527777777777778,0.0270045483591991,1,"medium",3,2
"medium__lag3__widen2","hrfals_fit[ls_svd_only]",20,0.0363397460974459,0.0283099119128702,0.0765300303591759,1.06950888927181,1.06078099168089,0.0644647897286862,-0.989199522186611,-0.993909635906593,0.0170491394535458,0.989199522186611,0.000788239185604899,0.00285941873405608,0.0122993105432917,0.00856157492487479,0.510185185185185,0.506944444444444,0.0245023017222928,1,"medium",3,2
"medium__lag3__widen1","fmrilss_sbhm",20,0.296226504054478,0.290485394891815,0.0344569693019466,3.82483881088786,3.71529740782111,0.34858936040628,0.176841019696151,0.117838230740132,0.195025852445696,0.185790907545722,0.0222134085721853,0.0238656772478477,0.0963101446836315,0.0785695338110532,0.593634259259259,0.594907407407407,0.0142788615863807,1,"medium",3,1
"medium__lag3__widen1","hrfals_fastlss[r]",20,0.207514056669929,0.20550746018383,0.0362335525554918,2.49942904305191,2.50467425817654,0.187381205221674,-0.513044261389608,-0.553367916735342,0.102635323752162,0.513044261389608,0.0766865087384038,0.0927810412467044,0.262710940987278,0.210602584536436,0.570833333333333,0.571759259259259,0.0221571496894859,1,"medium",3,1
"medium__lag3__widen1","hrfals_fastlss[cpp]",20,0.207514056669929,0.20550746018383,0.0362335525554918,2.49942904305191,2.50467425817654,0.187381205221674,-0.513044261389608,-0.553367916735342,0.102635323752162,0.513044261389608,0.0766865087384037,0.0927810412467044,0.262710940987278,0.210602584536435,0.570833333333333,0.571759259259259,0.0221571496894859,1,"medium",3,1
"medium__lag3__widen1","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.205361589659409,0.202694977951165,0.0366192454229559,2.48403007018847,2.46559953702125,0.191551667652173,-0.486043986321626,-0.530294563574583,0.110121865383392,0.486043986321626,0.0149302807350854,0.0143324786958378,0.0693765581648103,0.0574163177449191,0.566319444444444,0.564814814814815,0.0206262039310999,1,"medium",3,1
"medium__lag3__widen1","fmrilss_lss",20,0.205023652455473,0.202214246330422,0.0365842611915024,2.62700883983673,2.60855341681908,0.205981097151815,-0.454514897978787,-0.500897344859431,0.116951674808473,0.454514897978787,0.012092710805266,0.0153428087860258,0.0657719625566461,0.0537514143731607,0.565856481481481,0.564814814814815,0.0214860785857057,1,"medium",3,1
