"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","oasis_variant"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fastlss[cpp]",6,0.352898369275188,0.349754067738926,0.028933475871041,2.37309944597066,2.32076524397316,0.241365898088649,-0.143891272594141,-0.152378536801707,0.162802763048744,0.181670446348177,-0.17933381613389,-0.277294897952795,0.27371294457263,0.277571864526818,0.628086419753086,0.628472222222222,0.018557058661182,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fastlss[r]",6,0.352898369275188,0.349754067738926,0.028933475871041,2.37309944597066,2.32076524397316,0.24136589808865,-0.14389127259414,-0.152378536801706,0.162802763048744,0.181670446348177,-0.179333816133891,-0.277294897952795,0.27371294457263,0.277571864526819,0.628086419753086,0.628472222222222,0.018557058661182,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_lss",6,0.351131989982292,0.34807672946868,0.0271278597481027,2.56834378195426,2.56257509904732,0.261478942380611,0.00782309858504308,-0.000329154769320147,0.18986920451969,0.145699658064645,-0.0165547258860966,-0.00241798882029735,0.0450744059064831,0.0338788264824941,0.617283950617284,0.615740740740741,0.0161484950126978,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_sbhm",6,0.287802961471301,0.282032399035945,0.0262396870343268,3.83803839706114,3.81693951274494,0.44995248057619,0.221134609225923,0.21307117941317,0.273289553889354,0.256511854191862,-0.0287437397215586,0.0079949687342996,0.0695277516619304,0.0495654180722048,0.596836419753086,0.591435185185185,0.0115663554509588,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_pool_joint_mult",6,0.18970065408314,0.184172482095242,0.172285439055419,0.968634977273853,0.980861102041623,0.0321803011299858,-0.9173795799494,-0.92620306923197,0.0932027415211682,0.9173795799494,-0.00928371415394585,-0.00724038097191339,0.0192125272646756,0.0134183143339348,0.404706790123457,0.484953703703704,0.259240312910005,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_pool_mean",6,0.18970065408314,0.184172482095242,0.172285439055419,0.968634977273853,0.980861102041623,0.0321803011299858,-0.9173795799494,-0.92620306923197,0.0932027415211682,0.9173795799494,-0.00928371415394585,-0.00724038097191339,0.0192125272646756,0.0134183143339348,0.404706790123457,0.484953703703704,0.259240312910005,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_pool_compcv_wB",6,0.124813323531591,0.0585742672802786,0.138269542141772,0.978432554972507,0.984573553199931,0.02648545874493,-0.974220914740953,-0.996633122822439,0.0528110295645522,0.974220914740953,-0.00847263021662487,-0.00270458842256322,0.0170189643433242,0.0103324135459081,0.322145061728395,0.280092592592593,0.230332410358476,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fit[cf_als]",6,0.0949923910939487,0.115462336375379,0.0477234115859621,1.40525414772216,1.35785921093544,0.124560450036615,-0.891971367748503,-0.881614425835985,0.0444028016113173,0.891971367748503,-0.00484912905496212,-0.0253847500790104,0.206852492173062,0.16772044505052,0.533950617283951,0.534722222222222,0.0146157536945081,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fit[ls_svd_1als]",6,0.0949923910939487,0.115462336375379,0.0477234115859621,1.40525088803877,1.35786418491835,0.124554413258706,-0.891971861905945,-0.881614673746126,0.0444018081682407,0.891971861905945,-0.00484863272010243,-0.0253828885802929,0.206851887716508,0.1677201422147,0.533950617283951,0.534722222222222,0.0146157536945081,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fit[ls_svd_only]",6,0.0507557249060998,0.0740627382564001,0.0672919549392457,0.993878395550599,0.998860747252363,0.018847137912907,-0.988733835472955,-0.984205270362164,0.0126795539790523,0.988733835472955,0.00173362413001198,0.00482772997728639,0.00958560968337862,0.00837441381923339,0.521219135802469,0.541666666666667,0.0459574793288785,1,NA
