"scenario","method","mean_cor","mean_rmse","success_rate"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default",0.348430719851327,0.941794105242601,1
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default",0.431080293320847,1.01207437276227,1
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default",0.517027979043785,1.06533719088172,1
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default",0.348690026682428,1.03566788460941,1
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_default",0.348565513664445,1.19524733069,1
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_default",0.395699487965144,0.953107428904573,1
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default",0.340177686119999,1.27844323207008,1
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default",0.345389965674373,0.977796115257428,1
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default",0.36763950226271,1.05869658581103,1
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_sbhm",0.263617780573307,2.52754969408529,1
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.05]",0.353913955709349,2.21071871505113,1
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_lss",0.378775609488051,2.5836423663773,1
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_lss",0.240786926082449,3.22134117203735,1
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","st_default",0.301619055457411,1.22947557769168,1
"h2_r2_c3__hrf_lag2_widen1p5__ar_mod__isi_sparse__amp_none","fmrilss_oasis[fractional|x=0.05|b=0.05]",0.310372837075131,2.36815026576041,1
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_lss",0.24443880693194,3.68234186134192,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_sbhm",0.224661382095788,3.23990930429056,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",0.279454126997874,3.10189493560529,1
