"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate"
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",6,0.32165444179302,0.33099006640743,0.0776232588940416,3.65273482807062,3.55436404971703,0.222921695638088,0.175773713104227,0.182692993603871,0.301522092731453,0.269230270640967,0.0222459712425722,-0.0122027084587642,0.219886756618985,0.170401978093224,0.593364197530864,0.58912037037037,0.0291948227804752,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.01|b=0.05]",6,0.307725023327509,0.316088206389183,0.0550082252967775,2.40700403395765,2.3719698430362,0.13383246548611,-0.270653129580568,-0.262802407256716,0.142227276633843,0.270653129580568,-0.0148152328552214,-0.00114373526540989,0.139586184209178,0.107255213472014,0.577546296296296,0.578703703703704,0.0147677202849413,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.05]",6,0.307719578463137,0.316086128061159,0.0550026580782852,2.38431422483561,2.35010394610208,0.132009634758552,-0.277930850032252,-0.270155464020218,0.140795360342435,0.277930850032252,-0.0146713253566249,-0.00113420120430531,0.138207775831401,0.106201389189845,0.577546296296296,0.578703703703704,0.0147677202849413,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.05]",6,0.307703828898883,0.316080072169558,0.0549866069690131,2.31915452944097,2.28732714890886,0.126769103739325,-0.298917735386942,-0.291359986710843,0.136667607736211,0.298917735386942,-0.0142559267777149,-0.00110650180306866,0.134231226528769,0.10316061202511,0.577546296296296,0.578703703703704,0.0147677202849413,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.01|b=0.02]",6,0.307697948672112,0.316037213917286,0.0549312642565784,2.40778796361631,2.37275001294388,0.133817314697276,-0.270666867306816,-0.263303789492507,0.142173686952268,0.270666867306816,-0.0150114261971959,-0.001287390657028,0.140708241833442,0.108130471094356,0.57716049382716,0.578703703703704,0.0153314619839751,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.02]",6,0.307692431244934,0.316035240917005,0.0549255169342611,2.38507909007242,2.35086522549869,0.131993057011083,-0.27794787885563,-0.270654932460279,0.140741141261033,0.27794787885563,-0.01486553222816,-0.00127646371624941,0.139318119966314,0.107067712398931,0.57716049382716,0.578703703703704,0.0153314619839751,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.01|b=0.01]",6,0.30768790418406,0.316019175614802,0.054904411124372,2.40806563974379,2.37302566151007,0.133812638583441,-0.270671435356602,-0.263477571692739,0.142155383178672,0.270671435356602,-0.0150790212786661,-0.00133698094586001,0.141096132506972,0.108432868638927,0.57716049382716,0.578703703703704,0.0153314619839751,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_lss",6,0.307682977060248,0.316002504586229,0.054882916884352,2.43158533980738,2.39570317604988,0.135673349367515,-0.263244200497105,-0.256155313681141,0.143599356196469,0.263244200497105,-0.0152979590263103,-0.00139956204941313,0.142917792726795,0.109831269087608,0.577546296296296,0.579861111111111,0.0154764024541174,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.01]",6,0.307682362051174,0.316017239811611,0.0548986012320878,2.38535008559926,2.35113425929102,0.131987877012569,-0.277953590539861,-0.270828049312591,0.140722615484995,0.277953590539861,-0.0149324428856026,-0.00132557297517478,0.139701955831286,0.107367019371263,0.57716049382716,0.578703703703704,0.0153314619839751,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.01|b=0.05]",6,0.307679144784131,0.316004371061711,0.0548822767783902,2.40655416262743,2.37157519675225,0.133669573140033,-0.271231383422308,-0.264178931989427,0.14203127778298,0.271231383422308,-0.0151220531618624,-0.00137593086743642,0.141301302327264,0.108594368097215,0.577546296296296,0.579861111111111,0.0154764024541174,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.01|b=0.02]",6,0.307677789551942,0.316002013117167,0.0548787985449927,2.40659043007759,2.37161113771938,0.133669017598456,-0.271231965958921,-0.264201325540725,0.142028940950748,0.271231965958921,-0.0151307220958948,-0.00138229977400705,0.141351166980772,0.108633227075827,0.577546296296296,0.579861111111111,0.0154764024541174,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.01|b=0.01]",6,0.307677335782189,0.316001225116124,0.0548776368405627,2.4066025509238,2.37162314817605,0.133668833199684,-0.27123216009385,-0.26420880261046,0.142028161215367,0.27123216009385,-0.0151336158200006,-0.00138442592650574,0.141367814521922,0.10864619998775,0.577546296296296,0.579861111111111,0.0154764024541174,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.02]",6,0.307676470842627,0.316029486654761,0.0549089469876928,2.3198658188033,2.28803533500662,0.126748451448823,-0.298943856921849,-0.291853578419348,0.136611711430206,0.298943856921849,-0.0144444089492394,-0.00124474326321158,0.135307851644709,0.10400119343255,0.57716049382716,0.578703703703704,0.0153314619839751,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.02|b=0.05]",6,0.307673174473103,0.316002324467867,0.0548759873246599,2.38217483308694,2.34808059091116,0.131711053750163,-0.279047871829146,-0.272067191696008,0.140493415420809,0.279047871829146,-0.0149641406488006,-0.00136326781497817,0.13980147942113,0.107447746999936,0.577546296296296,0.579861111111111,0.0154764024541174,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.02|b=0.02]",6,0.307671815866258,0.315999971735075,0.0548725004220577,2.38221017059793,2.34811561156986,0.13171042763728,-0.279048612473197,-0.272089492662085,0.140491047633903,0.279048612473197,-0.0149727153084034,-0.00136957034536117,0.139850783714026,0.107486179066977,0.577546296296296,0.579861111111111,0.0154764024541174,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.02|b=0.01]",6,0.307671360970675,0.31599918547564,0.0548713358227422,2.38222198079367,2.34812731460311,0.131710219656251,-0.279048859405238,-0.272096938814068,0.14049025755501,0.279048859405238,-0.0149755775633463,-0.00137167433888759,0.139867244165022,0.107499009448546,0.577546296296296,0.579861111111111,0.0154764024541174,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.01]",6,0.307666329840458,0.316011592062819,0.0548818510433041,2.32011803603335,2.28828577383881,0.12674183237277,-0.298952728345531,-0.2920246526547,0.136592593430369,0.298952728345531,-0.0145093472080591,-0.00129246387920479,0.135680015775389,0.104291596291601,0.57716049382716,0.578703703703704,0.0153314619839751,1
