"method","mean_cor"
"st_default",0.329443405107889
"fmrilss_lss",0.321184122476141
"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.246854567042451
"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.24664086396072
"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.246621605351562
"fmrilss_oasis[absolute|x=0.05|b=0.01]",0.246562575192605
"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.246111060895784
"fmrilss_oasis[fractional|x=0.05|b=0.01]",0.245620349152291
"fmrilss_sbhm",0.239546172434356
"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.218523506990037
"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.218386768391814
"fmrilss_oasis[absolute|x=0.02|b=0.01]",0.218336733572889
"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.218012840083735
"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.217634120034667
"fmrilss_oasis[fractional|x=0.02|b=0.01]",0.217305742172547
"fmrilss_oasis[absolute|x=0.01|b=0.05]",0.201612969832726
"fmrilss_oasis[absolute|x=0.01|b=0.02]",0.201507654521702
"fmrilss_oasis[absolute|x=0.01|b=0.01]",0.201469032415569
"fmrilss_oasis[fractional|x=0.01|b=0.05]",0.201215480289187
"fmrilss_oasis[fractional|x=0.01|b=0.02]",0.200893272322561
"fmrilss_oasis[fractional|x=0.01|b=0.01]",0.200639483642991
