"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","oasis_variant"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default",6,0.3574345634048,0.357999833258914,0.0246930845379639,0.943197453565853,0.940965168363843,0.026023781238948,-0.949023354516616,-0.951489599639817,0.0122639759909649,0.949023354516616,-0.0129602705788936,-0.0120808311642545,0.0207429921408396,0.0173039336108341,0.637731481481482,0.635416666666667,0.00850517271799713,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fastlss[cpp]",6,0.349500172462379,0.350040437516165,0.026163371955482,2.40612392056137,2.35935974568168,0.250227956858103,-0.15031576713918,-0.170449458561058,0.149485941698601,0.181752135294015,-0.201637062862096,-0.286789736052018,0.282760764709649,0.297876018399201,0.630787037037037,0.631944444444444,0.00934566168434551,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fastlss[r]",6,0.349500172462379,0.350040437516165,0.026163371955482,2.40612392056137,2.35935974568169,0.250227956858103,-0.150315767139179,-0.170449458561057,0.149485941698601,0.181752135294014,-0.201637062862096,-0.286789736052018,0.282760764709649,0.297876018399201,0.630787037037037,0.631944444444444,0.00934566168434551,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_lss",6,0.348414568112001,0.350282483942569,0.0231470332339744,2.62034023968643,2.60586399764238,0.266881702889789,0.0148719820040106,-0.0125166607007454,0.175654459634551,0.136774649484007,-0.0216689578427649,0.00626296634756768,0.0681021294040811,0.049931047246437,0.625,0.625,0.0123360301800687,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_sbhm",6,0.269640821088075,0.256803797707867,0.0379096751691948,2.68686689345165,2.76668561336321,0.256587458798702,-0.184018773694295,-0.234030895853215,0.20530069163072,0.243681503524721,-0.0368734815367378,-0.0279933979810389,0.0624816979385588,0.051682739116316,0.597608024691358,0.596064814814815,0.0168468059872113,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fit[cf_als]",6,0.0631147770556423,0.0551130411877088,0.0249724877594952,1.41472258770968,1.35519524365787,0.117168418428065,-0.91875157042535,-0.933497254822466,0.047359304782886,0.91875157042535,-0.0565850511837102,-0.0842158636192666,0.158166498758087,0.1320187677819,0.537422839506173,0.538194444444444,0.024820025480198,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fit[ls_svd_1als]",6,0.0631147770556423,0.0551130411877088,0.0249724877594951,1.41471841936586,1.35518915351737,0.11716911421056,-0.918752182677042,-0.933499006209059,0.0473604685630482,0.918752182677042,-0.0565829894284768,-0.0842202750571562,0.158168645492999,0.13201928322616,0.537422839506173,0.538194444444444,0.024820025480198,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fit[ls_svd_only]",6,0.0626786332449692,0.0448991646290209,0.0415344831152415,0.988738270920391,0.985164697094859,0.0237409856505755,-0.987423745757688,-0.989045173372376,0.00728149235285248,0.987423745757688,0.00478945221449891,0.00130872725461645,0.00965486897120523,0.00669690132361091,0.501157407407407,0.502314814814815,0.0289027596092752,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_oasis_best",6,0.348799301047244,0.350599957578571,0.023329205922015,2.44815947822868,2.4342373703762,0.244796144816457,-0.0511138799497545,-0.0763683029212738,0.16409882316954,0.129521527073278,-0.0298892371214101,-0.0157915065029386,0.0609297414532946,0.0470866489571339,0.624614197530864,0.623842592592593,0.0125442176310929,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default",6,0.431080293320847,0.429457175475879,0.0247220568419783,1.01207437276227,1.02301284753955,0.0458255269762954,-0.945681277439081,-0.94589572021825,0.00740052486565903,0.945681277439081,-0.00264395136028447,0.000198317956280959,0.0121151238621635,0.00954184164009957,0.63966049382716,0.634259259259259,0.0164118030507968,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","hrfals_fastlss[cpp]",6,0.412677078748604,0.416051305027344,0.0204337407711607,2.18651645855576,2.21668739718751,0.102133945715049,-0.107388541784378,-0.128906998952905,0.0841041910535266,0.107388541784378,-0.0227685249095182,-0.0365639815691079,0.174441555979747,0.133024330922486,0.642361111111111,0.648148148148148,0.0264233855094926,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","hrfals_fastlss[r]",6,0.412677078748604,0.416051305027344,0.0204337407711608,2.18651645855576,2.21668739718751,0.10213394571505,-0.107388541784378,-0.128906998952905,0.0841041910535268,0.107388541784378,-0.0227685249095183,-0.0365639815691082,0.174441555979747,0.133024330922486,0.642361111111111,0.648148148148148,0.0264233855094926,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","fmrilss_lss",6,0.409097253377143,0.411601531811691,0.0205106404133125,2.26947664007263,2.2977067024435,0.108439230099555,-0.0206839867957897,-0.0345537754424738,0.0927313826143284,0.0780888923903217,0.0120014776956009,0.0118127426469565,0.0230830584576401,0.0200671867383275,0.637731481481482,0.638888888888889,0.0301726144012738,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","fmrilss_sbhm",6,0.286421084280112,0.301352870661252,0.0436365248130173,2.84489520586473,2.83366338405016,0.380598889545026,-0.250680344003142,-0.260699087102036,0.195648501521661,0.250680344003142,-0.00709192297581511,0.000116301325603965,0.0618776420163678,0.0452657310991525,0.602623456790123,0.608796296296296,0.0143941034769889,1,NA
