"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","regime","global_hrf","hetero","oasis_variant"
1,"fmrilss_lss",0.335788416497443,3.04256892527856,-0.035964515735175,0.0477111263851609,0.62962962962963,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate",NA
1,"fmrilss_sbhm",0.270564405340653,4.27934495325995,-0.199799825499152,-0.141856448474533,0.594907407407407,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate",NA
1,"fmrilss_oasis_best",0.24387269700864,2.74203964676613,-0.379215087346885,-0.00371234390344651,0.583333333333333,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate","fmrilss_oasis[fractional|x=0.05|b=0.05]"
1,"st_default",0.223741090951786,1.03301871955769,-0.959954719597088,-0.00571604163110184,0.604166666666667,TRUE,NA,"medium__mismatch__none","medium","mismatch","none",NA
1,"fmrilss_lss",0.23998465913835,2.85067214544509,-0.272897819005787,-0.0302990835625854,0.615740740740741,TRUE,NA,"medium__mismatch__none","medium","mismatch","none",NA
1,"fmrilss_sbhm",0.158153945572529,5.97465269027286,-0.382811276480805,0.0489539714305237,0.587962962962963,TRUE,NA,"medium__mismatch__none","medium","mismatch","none",NA
1,"fmrilss_oasis_best",0.174086813431718,3.07655518686104,-0.441956190495267,-0.0101398136748364,0.5625,TRUE,NA,"medium__mismatch__none","medium","mismatch","none","fmrilss_oasis[absolute|x=0.05|b=0.05]"
1,"st_default",0.244738561291804,1.09880623006016,-0.978493168790418,0.00861786801010568,0.574074074074074,TRUE,NA,"medium__nominal__high","medium","nominal","high",NA
1,"fmrilss_lss",0.252326508596487,2.78163319939331,-0.363961296624507,-0.0352547806613039,0.56712962962963,TRUE,NA,"medium__nominal__high","medium","nominal","high",NA
1,"fmrilss_sbhm",0.243738270281228,3.67447950587703,-0.225400881863155,-0.0279413600208756,0.592592592592593,TRUE,NA,"medium__nominal__high","medium","nominal","high",NA
1,"fmrilss_oasis_best",0.137939657692651,2.72947079143143,-0.666051115876805,-0.0104216530656276,0.516203703703704,TRUE,NA,"medium__nominal__high","medium","nominal","high","fmrilss_oasis[fractional|x=0.05|b=0.05]"
1,"st_default",0.266864877816787,0.950161819433719,-0.972028143120371,0.00067414871293127,0.581018518518518,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate",NA
1,"fmrilss_lss",0.247056544292751,2.62860099197614,-0.330677803128754,0.0260356130836712,0.5625,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate",NA
1,"fmrilss_sbhm",0.208706793285835,3.88743608724755,-0.0755432535462591,-0.0674477219850113,0.55787037037037,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate",NA
1,"fmrilss_oasis_best",0.22180295740619,2.63673235053316,-0.350802408325555,0.0204194978723854,0.56712962962963,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate","fmrilss_oasis[fractional|x=0.05|b=0.05]"
1,"st_default",0.387318697675629,1.06747785485848,-0.924618404063496,-0.0397753535045207,0.631944444444444,TRUE,NA,"medium__nominal__none","medium","nominal","none",NA
1,"fmrilss_lss",0.391171996765884,2.83051431785312,0.052901870625296,-0.0150364164309523,0.611111111111111,TRUE,NA,"medium__nominal__none","medium","nominal","none",NA
1,"fmrilss_sbhm",0.286861954492288,3.46703185565939,-0.19350865221439,-0.0245298997964666,0.548611111111111,TRUE,NA,"medium__nominal__none","medium","nominal","none",NA
1,"fmrilss_oasis_best",0.227392027514433,2.77836107895733,-0.444918337171468,-0.0244062773878418,0.583333333333333,TRUE,NA,"medium__nominal__none","medium","nominal","none","fmrilss_oasis[fractional|x=0.05|b=0.05]"
2,"st_default",0.239112689918229,1.14650424594436,-0.973384450757577,0.0300422200994239,0.569444444444444,TRUE,NA,"hard__mismatch__high","hard","mismatch","high",NA
2,"fmrilss_lss",0.219329643196893,3.475056164717,-0.224936965098736,0.098891547583893,0.576388888888889,TRUE,NA,"hard__mismatch__high","hard","mismatch","high",NA
2,"fmrilss_sbhm",0.1893603154363,5.05629063344826,-0.114497402595764,0.169835336764287,0.550925925925926,TRUE,NA,"hard__mismatch__high","hard","mismatch","high",NA
2,"fmrilss_oasis_best",0.0955260477233785,3.73592587008297,-0.677210728748406,0.121051975730605,0.530092592592593,TRUE,NA,"hard__mismatch__high","hard","mismatch","high","fmrilss_oasis[fractional|x=0.05|b=0.05]"
2,"st_default",0.335157366628664,1.18611814006106,-0.920217526953718,0.00437151911405389,0.615740740740741,TRUE,NA,"hard__mismatch__moderate","hard","mismatch","moderate",NA
2,"fmrilss_lss",0.374588190394355,3.56475681714704,0.177259306359532,-0.133744922864858,0.611111111111111,TRUE,NA,"hard__mismatch__moderate","hard","mismatch","moderate",NA
2,"fmrilss_sbhm",0.385598974130854,3.74883918527659,0.328573819267934,-0.158294065840596,0.648148148148148,TRUE,NA,"hard__mismatch__moderate","hard","mismatch","moderate",NA
2,"fmrilss_oasis_best",0.208033955903022,3.85993952428634,-0.328335834117216,-0.085679963177202,0.560185185185185,TRUE,NA,"hard__mismatch__moderate","hard","mismatch","moderate","fmrilss_oasis[fractional|x=0.05|b=0.05]"
2,"st_default",0.23119871196084,1.19094063702949,-0.960875797243987,-0.00113474374161302,0.594907407407407,TRUE,NA,"hard__mismatch__none","hard","mismatch","none",NA
2,"fmrilss_lss",0.251651052114062,4.43600792668673,0.000239354302549677,-0.0598466265396095,0.550925925925926,TRUE,NA,"hard__mismatch__none","hard","mismatch","none",NA
2,"fmrilss_sbhm",0.245348906054713,6.70111941832876,-0.132460926897674,-0.083387574499021,0.546296296296296,TRUE,NA,"hard__mismatch__none","hard","mismatch","none",NA
2,"fmrilss_oasis_best",0.0374087723455309,4.36847823631265,-0.822780722501191,-0.00141865990507533,0.534722222222222,TRUE,NA,"hard__mismatch__none","hard","mismatch","none","fmrilss_oasis[absolute|x=0.05|b=0.05]"
2,"st_default",0.158418044843219,1.03072898271231,-0.99999884721394,1.61550041818696e-07,0.0185185185185185,TRUE,NA,"hard__nominal__high","hard","nominal","high",NA
2,"fmrilss_lss",0.204129553618649,2.91936469483742,-0.363760563362801,0.0678834919379857,0.546296296296296,TRUE,NA,"hard__nominal__high","hard","nominal","high",NA
2,"fmrilss_sbhm",0.186919951350612,4.93685534494375,-0.130451639509529,0.0772773817429909,0.543981481481482,TRUE,NA,"hard__nominal__high","hard","nominal","high",NA
2,"fmrilss_oasis_best",0.113343928411816,3.63388696139821,-0.610330037127054,0.0658525831696333,0.50462962962963,TRUE,NA,"hard__nominal__high","hard","nominal","high","fmrilss_oasis[absolute|x=0.05|b=0.02]"
2,"st_default",0.322098634740719,1.08424800025185,-0.970138415719158,0.00697141145025732,0.590277777777778,TRUE,NA,"hard__nominal__moderate","hard","nominal","moderate",NA
2,"fmrilss_lss",0.316691044786145,3.59282613241987,0.160116470521254,0.0400872082782685,0.601851851851852,TRUE,NA,"hard__nominal__moderate","hard","nominal","moderate",NA
2,"fmrilss_sbhm",0.168538191400697,10.4340395589203,-0.286969442459078,0.0808364671970843,0.553240740740741,TRUE,NA,"hard__nominal__moderate","hard","nominal","moderate",NA
2,"fmrilss_oasis_best",0.255800338348966,3.71462831159633,-0.0361260224443555,0.000651522267653616,0.550925925925926,TRUE,NA,"hard__nominal__moderate","hard","nominal","moderate","fmrilss_oasis[absolute|x=0.05|b=0.05]"
2,"st_default",0.330185594678224,1.08184518696946,-0.915403341783789,0.0391594552537662,0.604166666666667,TRUE,NA,"hard__nominal__none","hard","nominal","none",NA
2,"fmrilss_lss",0.295446190878875,4.52934457445508,0.233023271750892,-0.0761862790978912,0.592592592592593,TRUE,NA,"hard__nominal__none","hard","nominal","none",NA
2,"fmrilss_sbhm",0.176329687434813,5.65290876384542,-0.193322888261478,-0.0844482554702556,0.55787037037037,TRUE,NA,"hard__nominal__none","hard","nominal","none",NA
2,"fmrilss_oasis_best",0.139984566614252,4.39528770068993,-0.473350676236905,0.0152941697148515,0.548611111111111,TRUE,NA,"hard__nominal__none","hard","nominal","none","fmrilss_oasis[fractional|x=0.05|b=0.05]"
2,"st_default",0.263968846141448,1.04189620904207,-0.875756074175473,-0.10321766265917,0.592592592592593,TRUE,NA,"medium__mismatch__high","medium","mismatch","high",NA
2,"fmrilss_lss",0.26539913274368,2.70039527005958,-0.279382978762977,0.116153547867035,0.611111111111111,TRUE,NA,"medium__mismatch__high","medium","mismatch","high",NA
2,"fmrilss_sbhm",0.238950095688257,3.80270661017957,-0.258917498940669,0.115132670745363,0.581018518518518,TRUE,NA,"medium__mismatch__high","medium","mismatch","high",NA
2,"fmrilss_oasis_best",0.111748151239787,2.59617130925749,-0.747273354793933,-0.0513321981773872,0.571759259259259,TRUE,NA,"medium__mismatch__high","medium","mismatch","high","fmrilss_oasis[absolute|x=0.05|b=0.05]"
2,"st_default",0.255802575454671,1.10522656123051,-0.9415848557327,0.00566444358862679,0.583333333333333,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate",NA
2,"fmrilss_lss",0.280085650421521,2.86561645583351,-0.237831090750196,-0.0140580855678983,0.592592592592593,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate",NA
2,"fmrilss_sbhm",0.272462755711588,3.80387554867543,-0.168996093921989,0.151991797663485,0.583333333333333,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate",NA
2,"fmrilss_oasis_best",0.231107630072167,2.97455603803594,-0.392297305071378,0.0294860324691333,0.569444444444444,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate","fmrilss_oasis[fractional|x=0.05|b=0.05]"
2,"st_default",0.333102709472176,1.06299818517742,-0.875389577969598,-0.00458452699553892,0.615740740740741,TRUE,NA,"medium__mismatch__none","medium","mismatch","none",NA
2,"fmrilss_lss",0.350660293901005,2.89809560466126,0.0173283167424308,0.0211912000265282,0.608796296296296,TRUE,NA,"medium__mismatch__none","medium","mismatch","none",NA
