"scenario","mean_margin","mean_rho","max_rho","mean_kappa","max_kappa","method_global_ls","method_lss1","method_oasis_voxel","config"
"easy",0.071005721989359,0.993262675903116,0.996246472565302,2910.88747380566,6442.88404992024,0,12,0,"legacy"
"hard",0.0684777520675826,0.972618833026981,0.986562194501001,13010.8718486584,37280.2542381323,0,12,0,"legacy"
"medium",0.0729428361367411,1,1,245481452.911946,272221103.59747,0,12,0,"legacy"
"easy",0.0127185114045481,0.995088078267785,0.998343930872718,282.946296746937,719.143599692273,0,0,12,"robust"
"hard",0.0139629754673355,0.993317236235958,0.997495171456704,3706.91514883649,12908.9545019694,0,0,12,"robust"
"medium",0.0132869291058811,1,1,294954433.43741,362795725.636396,0,0,12,"robust"
