"mode","voxel","pre_cos","amp_mean"
"mixed",1,0.970901275715486,0.195785862029268
"mixed",2,0.556096481045617,0.181801287162884
"mixed",3,0.630678250436413,0.0840277244582128
"mixed",4,0.749167573213525,0.180560534571788
"mixed",5,-0.560044083921025,0.0490473855186338
"mixed",6,0.551622431131996,0.0849006842723628
"mixed",7,0.789498906835977,0.248267975012749
"mixed",8,0.624613163281058,0.143739747378838
"mixed",9,0.0400915768268447,0.00249812922398333
"mixed",10,0.371577656671585,0.0327180395499171
"mixed",11,0.350757783946848,-0.0793232232346304
"mixed",12,0.293647812243391,-0.0278768147030809
"mixed",13,0.793902878879646,0.140772133614856
"mixed",14,-0.659473027693826,-0.298250322716884
"mixed",15,0.163825781985469,0.00814707103888814
"mixed",16,-0.209603234253469,0.111577734231116
"mixed",17,0.422240495809556,0.118905102369633
"mixed",18,0.650783542608264,0.170975062605647
"mixed",19,0.820459631098889,0.358110291900532
"mixed",20,0.599051141756424,0.267456716359371
"mixed",21,-0.293917344417703,0.127517888802938
"mixed",22,-0.265804420830143,-0.114086255531103
"mixed",23,0.110575008256731,-0.000183254384918793
"mixed",24,-0.222873046493638,0.00598198891363899
"mixed",25,-0.298426617355781,0.0164900136620841
"mixed",26,0.810220428068714,0.0366858196893264
"mixed",27,0.779774814063631,0.241009874845444
"mixed",28,-0.119780654423633,0.0162346532071505
"mixed",29,0.906523299119428,0.142023166746776
"mixed",30,-0.0470723860844294,0.101064793813724
"mixed",31,-0.786426600042815,-0.351702307383103
"mixed",32,-0.769966606590289,-0.113651142624498
"mixed",33,0.561234002501218,0.0422409701942285
"mixed",34,-0.0298346882374337,-0.0304454037471499
"mixed",35,0.62759603158778,0.153509011800029
"mixed",36,-0.732950987421892,-0.0821819720552888
"mixed",37,-0.530396240001113,-0.114308787357016
"mixed",38,-0.11763493780917,0.0380774819752472
"mixed",39,0.0766521524604387,0.0218917049967431
"mixed",40,-0.237662820089268,-0.215729623132929
"mixed",41,-0.300833989305762,-0.0192864644195276
"mixed",42,0.747820390751127,0.210461240437992
"mixed",43,0.00207490816438514,-0.0349882554451023
"mixed",44,0.165995481081829,-0.0130250464586424
"mixed",45,-0.487063949665328,-0.240695692816035
"mixed",46,-0.195457796877697,-0.00958333537208964
"mixed",47,-0.521772616347958,-0.182020052899727
"mixed",48,-0.702932605768484,-0.357351995276161
"mixed",49,-0.397532645338054,-0.0529890088001899
"mixed",50,0.367788077772676,0.316470202040716
"mixed",51,0.63486853638491,0.108152380264002
"mixed",52,0.521995136841761,0.0795489297150809
"mixed",53,0.285845834159099,0.19232629632444
"mixed",54,0.0276318002416205,0.0110349496446887
"mixed",55,0.853086702776019,0.281727892387679
"mixed",56,0.729264832139302,0.233016026303826
"mixed",57,0.487596797072776,0.139917873213599
"mixed",58,0.866433585734178,0.189562085221523
"mixed",59,0.125334431177361,-0.011453657995564
"mixed",60,0.432298416278942,0.0396240151712134
"positive",1,0.916786257256833,0.864838370153825
"positive",2,0.985219851296608,0.718764808537189
"positive",3,0.966952087089045,0.930431384873131
"positive",4,0.955435913050321,0.955000637628544
"positive",5,0.944801509866467,0.877377431021178
"positive",6,0.960402770330564,0.771533314683367
"positive",7,0.966991416120328,0.658958993124732
"positive",8,0.869881967978939,0.679975141688235
"positive",9,0.94148589263621,0.821052022841444
"positive",10,0.950986413488081,0.747749461671228
"positive",11,0.989090970491248,0.915121708446179
"positive",12,0.98350221351101,0.874515441632318
"positive",13,0.934822220029511,0.84779479169112
"positive",14,0.907771048803203,0.813248927571927
"positive",15,0.98634568443417,0.844614294898794
"positive",16,0.959105255450899,0.693991162712261
"positive",17,0.983865514202973,0.701701759912549
"positive",18,0.964988328697274,0.746013620401238
"positive",19,0.97859977773069,0.72066771350585
"positive",20,0.969256440214153,0.739134485917211
"positive",21,0.984800243342292,0.748835218606201
"positive",22,0.962319347905082,0.783270283175493
"positive",23,0.857484630321899,0.748835750883068
"positive",24,0.973825090612882,0.987782351487525
"positive",25,0.955192452861234,0.712602802665877
"positive",26,0.92753983632265,0.973229953863112
"positive",27,0.95923258046936,0.613370107829329
"positive",28,0.972877387266905,0.782209218647512
"positive",29,0.914821825933747,0.854507508410544
"positive",30,0.981497558677085,0.793143155057469
"positive",31,0.992686339117563,0.661413902949046
"positive",32,0.863853893264627,0.605039787410114
"positive",33,0.964482584262291,0.719751346357482
"positive",34,0.906362077502061,0.775470052549082
"positive",35,0.937640998884399,0.885903912686565
"positive",36,0.946608025985496,0.726068447534189
"positive",37,0.99060148054361,0.84296235234081
"positive",38,0.987566966531605,0.714080372482581
"positive",39,0.98283104698318,0.692152648799641
"positive",40,0.929526894585137,0.799608298010677
"positive",41,0.974501937731519,0.829622020474308
"positive",42,0.930940734415981,0.552363988856295
"positive",43,0.888874395398917,0.848322345849793
"positive",44,0.958474658657834,0.700478502623816
"positive",45,0.885270772083149,0.93720644603091
"positive",46,0.95584348430537,0.677336984118567
"positive",47,0.971913634454814,0.662830703916657
"positive",48,0.992020654718411,0.816449421664563
"positive",49,0.97022139188626,0.764608317541632
"positive",50,0.961718308193274,0.851371153520906
"positive",51,0.907500086201506,0.689101142978193
"positive",52,0.872760050520315,0.892063388090512
"positive",53,0.951479894324064,0.706232357081123
"positive",54,0.91544160233105,0.7828126299583
"positive",55,0.983357784341885,0.733738497416895
"positive",56,0.958921755491979,0.874468161121342
"positive",57,0.94803041529286,0.746836015591325
"positive",58,0.92576439530623,0.75917058409093
"positive",59,0.948113421447394,0.709033778593144
"positive",60,0.967799999292829,0.68492986715144
