"scenario","regime","global_hrf","hetero","method","mean_cor","ci_cor_lo","ci_cor_hi","mean_rmse","mean_sign_acc","mean_abs_slope_bias","success_rate"
"hard__mismatch__none","hard","mismatch","none","st_default",0.166706119459635,0.102213526958429,0.23119871196084,1.11080207114222,0.30787037037037,0.980399264777792,1
"hard__nominal__high","hard","nominal","high","st_default",0.247752231766256,0.158418044843219,0.337086418689293,1.05515653487568,0.304398148148148,0.981718249647548,1
"hard__nominal__moderate","hard","nominal","moderate","st_default",0.306474949296175,0.290851263851631,0.322098634740719,1.09174617046741,0.594907407407407,0.953306552776027,1
"hard__nominal__none","hard","nominal","none","st_default",0.351465604606971,0.330185594678224,0.372745614535718,1.12877500261693,0.607638888888889,0.90557465544283,1
"medium__mismatch__high","medium","mismatch","high","st_default",0.258026699903203,0.252084553664959,0.263968846141448,1.07703645784414,0.596064814814815,0.916013974197518,1
"medium__mismatch__moderate","medium","mismatch","moderate","st_default",0.295987463931034,0.255802575454671,0.336172352407397,1.08377589879715,0.607638888888889,0.922067713249697,1
"medium__mismatch__none","medium","mismatch","none","st_default",0.278421900211981,0.223741090951786,0.333102709472176,1.04800845236755,0.609953703703704,0.917672148783343,1
"medium__nominal__high","medium","nominal","high","st_default",0.280292274766106,0.244738561291804,0.315845988240408,1.05477675595873,0.58912037037037,0.954522055377331,1
"medium__nominal__moderate","medium","nominal","moderate","st_default",0.285196917776573,0.266864877816787,0.30352895773636,1.01979976615612,0.585648148148148,0.970692053218662,1
"medium__nominal__none","medium","nominal","none","st_default",0.346252369181297,0.305186040686964,0.387318697675629,1.00108684082854,0.609953703703704,0.935996521597464,1
