"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","regime","lag","widen"
1,"st_default",0.421350124371576,0.890224367577467,-0.748764979957036,-0.0291966595578736,0.678240740740741,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"fmrilss_lss",0.397366741252771,1.8088014745663,-0.169897775483012,0.0305480142920791,0.652777777777778,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.398171786723084,1.7180761239491,-0.213446789535296,0.0292873301906111,0.650462962962963,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"fmrilss_sbhm",0.197251215568735,1.87163357010229,-0.624608401284298,0.0325962770101575,0.606481481481482,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"st_default",0.467080116097045,0.897316124614036,-0.692597515872607,-0.0416037594276114,0.696759259259259,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"fmrilss_lss",0.433095697219164,2.12806911980492,0.0568953352673615,-0.0261415839441521,0.671296296296296,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.433268757078123,2.01287044874929,0.000360379680407211,-0.0228129415176607,0.675925925925926,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"fmrilss_sbhm",0.177665120835913,2.21924549412933,-0.579202049295924,-0.0331848412799855,0.574074074074074,TRUE,NA,"easy__lag0__widen0","easy",0,0
3,"st_default",0.377140420082348,0.888087607663493,-0.772624881989625,0.00799255406348762,0.62037037037037,TRUE,NA,"easy__lag0__widen0","easy",0,0
3,"fmrilss_lss",0.377302131512737,1.69499424159788,-0.264481009503268,0.0171296308411019,0.618055555555556,TRUE,NA,"easy__lag0__widen0","easy",0,0
3,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.377515162401615,1.61496615861631,-0.303166344768047,0.0160574046281541,0.615740740740741,TRUE,NA,"easy__lag0__widen0","easy",0,0
3,"fmrilss_sbhm",0.122024755392702,1.94210939895728,-0.764274415165322,-0.0361135081317794,0.532407407407407,TRUE,NA,"easy__lag0__widen0","easy",0,0
4,"st_default",0.471617491020631,0.889522727675899,-0.714793861917623,-0.0260255472509231,0.685185185185185,TRUE,NA,"easy__lag0__widen0","easy",0,0
4,"fmrilss_lss",0.439428800239845,2.14932747546997,0.039947926972543,0.0929916800258674,0.659722222222222,TRUE,NA,"easy__lag0__widen0","easy",0,0
4,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.43988943430838,2.02883348513543,-0.0166163991365129,0.0801722508714164,0.659722222222222,TRUE,NA,"easy__lag0__widen0","easy",0,0
