"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","regime","lag","widen"
1,"st_default",0.399603381826158,0.920020444058444,-0.9342350571948,-0.00719869003527189,0.636574074074074,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"fmrilss_lss",0.37751930493004,1.99900714585097,-0.132211990531942,0.0182201619866782,0.631944444444444,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.25597020673463,2.27381692727988,-0.352372524368871,-0.00433496995002094,0.594907407407407,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"fmrilss_sbhm",0.330465183777236,2.02744637764525,-0.274958870367912,0.0320258515849964,0.604166666666667,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"st_default",0.43964095335496,0.932803070995201,-0.903758622537896,-0.00870791419541484,0.668981481481482,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"fmrilss_lss",0.427532738277621,2.28475378845768,0.0734374281049016,-0.0157990798065478,0.671296296296296,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.243857374715491,2.63534953382987,-0.336760314211701,0.00186758310293041,0.578703703703704,TRUE,NA,"easy__lag0__widen0","easy",0,0
2,"fmrilss_sbhm",0.325543814248172,2.4470403840843,-0.181508099079153,0.0336268707171651,0.622685185185185,TRUE,NA,"easy__lag0__widen0","easy",0,0
1,"st_default",0.447153384464266,0.906728176141231,-0.726172693817378,-0.0259404848456773,0.664351851851852,TRUE,NA,"easy__lag0__widen1","easy",0,1
1,"fmrilss_lss",0.420062953849338,2.20574368347761,0.00221306931371694,-0.0225136237873128,0.666666666666667,TRUE,NA,"easy__lag0__widen1","easy",0,1
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.287933735896763,2.56417957959692,-0.230914089831542,-0.0028827894068056,0.594907407407407,TRUE,NA,"easy__lag0__widen1","easy",0,1
1,"fmrilss_sbhm",0.266273563632902,2.42369935756576,-0.256351668291113,-0.0909253941824755,0.62037037037037,TRUE,NA,"easy__lag0__widen1","easy",0,1
2,"st_default",0.380738143837806,0.880400671063383,-0.772333818332577,0.00186366104817239,0.625,TRUE,NA,"easy__lag0__widen1","easy",0,1
2,"fmrilss_lss",0.377444392047819,1.87828247208593,-0.199141171797784,0.00443828728999856,0.62037037037037,TRUE,NA,"easy__lag0__widen1","easy",0,1
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.243814416360126,2.40218582075788,-0.323813798925345,0.0515295941203929,0.581018518518518,TRUE,NA,"easy__lag0__widen1","easy",0,1
2,"fmrilss_sbhm",0.2946774787711,1.93490726975149,-0.390271578428378,0.0378799292535172,0.587962962962963,TRUE,NA,"easy__lag0__widen1","easy",0,1
1,"st_default",0.312889680400782,0.925860788984254,-0.813501954584848,-0.00608586106591219,0.594907407407407,TRUE,NA,"easy__lag0__widen2","easy",0,2
