"scenario","method_a","method_b","n","delta_cor_mean","delta_cor_ci_lo","delta_cor_ci_hi","delta_rmse_mean","delta_rmse_ci_lo","delta_rmse_ci_hi","delta_sign_acc_mean","delta_sign_acc_ci_lo","delta_sign_acc_ci_hi","delta_abs_slope_bias_mean","delta_abs_slope_bias_ci_lo","delta_abs_slope_bias_ci_hi","delta_abs_intercept_bias_mean","delta_abs_intercept_bias_ci_lo","delta_abs_intercept_bias_ci_hi","hrf_regime","ar_regime","isi_regime","amp_regime","cell","comparison"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default","fmrilss_lss",40,0.0113015409402143,-0.0202325253598228,0.036216279559108,-1.45262950767301,-2.00224156589462,-1.08693127586454,0.0111111111111111,-0.0308256172839507,0.0477623456790124,0.796342686409265,0.383553291902826,0.957626770530539,-0.0233902445482988,-0.0942654117187352,0.0496648379564219,"nominal","ar_iid","isi_dense","amp_none","h1_r1_c1","st_default - fmrilss_lss"
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default","fmrilss_lss",40,0.0392705816870556,-0.0115472532914903,0.0747306652898836,-0.96089140734658,-1.23832333890119,-0.6947789065806,0.010474537037037,-0.0230324074074074,0.0516589506172839,0.567911166453831,0.323081338775751,0.658587276181756,-0.0144401998520337,-0.0895009578901025,0.0854298677445268,"nominal","ar_iid","isi_mid","amp_mod","h1_r1_c2","st_default - fmrilss_lss"
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default","fmrilss_lss",40,0.0376486766599204,-0.00523203410164311,0.0713848223130222,-0.699637647503952,-0.919853613716102,-0.545192804748718,0.0102430555555556,-0.0315007716049382,0.0392939814814815,0.497615284456906,0.370065693741215,0.598658258512497,-0.0311803193907732,-0.143880078129241,0.0546999984998208,"nominal","ar_iid","isi_sparse","amp_high","h1_r1_c3","st_default - fmrilss_lss"
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default","fmrilss_lss",40,0.0157228183362541,-0.021613478373962,0.0443850495765454,-1.84733819445109,-2.45045868182701,-1.26049241046944,0.0095486111111111,-0.0185185185185186,0.0354552469135803,0.785293984999414,0.54543269947737,0.957644556179132,-0.0194401988820665,-0.111947770013729,0.0506107165544403,"nominal","ar_mod","isi_dense","amp_mod","h1_r2_c1","st_default - fmrilss_lss"
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_default","fmrilss_lss",40,0.0297171767393546,-0.0313175723315232,0.0976311203281239,-1.26037270673974,-1.55468205195087,-0.958924823077142,0.0125,-0.0199845679012346,0.0377700617283951,0.616421414703788,0.431608526678925,0.729837247735407,-0.0223763168895161,-0.141537210949082,0.0697861752860123,"nominal","ar_mod","isi_mid","amp_high","h1_r2_c2","st_default - fmrilss_lss"
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_default","fmrilss_lss",40,0.0209596698985662,-0.0212211955537974,0.0547204662897992,-0.915893689857704,-1.08820846973501,-0.757782394248788,0.00642361111111112,-0.0292438271604938,0.0400848765432099,0.494578369584672,0.323858619179877,0.606586803407222,-0.0333089073322642,-0.199521846777617,0.0553625493965048,"nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3","st_default - fmrilss_lss"
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default","fmrilss_lss",40,0.0379754252482766,-0.0504944359311929,0.109835807752114,-2.2554881043206,-2.83041875032153,-1.50291195076249,0.000636574074074078,-0.309085648148148,0.0470293209876543,0.777451320711562,0.47710019627027,0.925370325633331,-0.0301520667637602,-0.118406632887758,0.0495144441804012,"nominal","ar_high","isi_dense","amp_high","h1_r3_c1","st_default - fmrilss_lss"
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default","fmrilss_lss",40,0.0205032896593013,-0.0217048274019891,0.0573534731535857,-1.43292483978741,-1.6501227993262,-1.23403505537933,0.0124421296296296,-0.0253472222222222,0.0431905864197531,0.629289774317387,0.4261645467811,0.748527275822776,-0.0472473288831258,-0.168343444568001,0.0592731621220709,"nominal","ar_high","isi_mid","amp_none","h1_r3_c2","st_default - fmrilss_lss"
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default","fmrilss_lss",40,0.0306108833722567,-0.00614176102532931,0.0674638111161514,-1.35166116326694,-1.59121812771099,-1.10548855410216,0.00983796296296296,-0.0284529320987654,0.0339313271604938,0.585670219332039,0.236414499256511,0.692930713683714,-0.0559161383228795,-0.261627287340647,0.0782512837605818,"nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3","st_default - fmrilss_lss"
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","st_default","fmrilss_lss",40,-0.00513563605885211,-0.0386625027455206,0.0293034096713414,-1.60498387990822,-2.11883590721571,-1.27995752338468,0.0111111111111111,-0.0230902777777778,0.0408757716049383,0.679653147826187,0.350762351112432,0.938348682862616,-0.0236293061353725,-0.0799728995362395,0.0356056018710829,"lag2_widen1p5","ar_iid","isi_dense","amp_none","h2_r1_c1","st_default - fmrilss_lss"
