"scenario","primary_st","mean_cor_st","mean_cor_lss","mean_rmse_st","mean_rmse_lss","mean_sign_acc_st","mean_sign_acc_lss","mean_slope_bias_st","mean_slope_bias_lss","mean_intercept_bias_st","mean_intercept_bias_lss","delta_cor_mean","delta_cor_ci_lo","delta_cor_ci_hi","delta_rmse_mean","delta_rmse_ci_lo","delta_rmse_ci_hi","delta_sign_acc_mean","delta_sign_acc_ci_lo","delta_sign_acc_ci_hi","delta_slope_bias_mean","delta_slope_bias_ci_lo","delta_slope_bias_ci_hi","delta_abs_slope_bias_mean","delta_abs_slope_bias_ci_lo","delta_abs_slope_bias_ci_hi","delta_intercept_bias_mean","delta_intercept_bias_ci_lo","delta_intercept_bias_ci_hi","delta_abs_intercept_bias_mean","delta_abs_intercept_bias_ci_lo","delta_abs_intercept_bias_ci_hi","st_better_corr_rate","st_better_rmse_rate","st_better_sign_acc_rate","st_lower_abs_slope_bias_rate","st_lower_abs_intercept_bias_rate"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default",0.3574345634048,0.348414568112001,0.943197453565853,2.62034023968643,0.637731481481482,0.625,-0.949023354516616,0.0148719820040106,-0.0129602705788936,-0.0216689578427649,0.00901999529279957,0.00424685912177303,0.0203449318326272,-1.67714278612058,-2.1682473513281,-1.32460484160154,0.0127314814814815,-0.00231481481481477,0.0300925925925926,-0.963895336520627,-1.24958151314796,-0.802138777923209,0.812248705032609,0.618157750881474,0.891212795999574,0.00870868726387134,-0.0664769470726955,0.110966963313341,-0.0326271136356029,-0.0980356299374273,0.0332270084016767,1,1,0.666666666666667,0,0.5
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default",0.431080293320847,0.409097253377143,1.01207437276227,2.26947664007263,0.63966049382716,0.637731481481482,-0.945681277439081,-0.0206839867957897,-0.00264395136028447,0.0120014776956009,0.0219830399437036,-0.00317761485076007,0.0406129371794109,-1.25740226731036,-1.4126610704556,-1.0850718468236,0.00192901234567901,-0.0300925925925927,0.0439814814814815,-0.924997290643292,-1.04268020756317,-0.827139503031168,0.86759238504876,0.827139503031168,0.95238194261291,-0.0146454290558854,-0.0484315993051644,0.0266817793644301,-0.010525345098228,-0.0442555666577879,0.00645614029610257,0.833333333333333,1,0.333333333333333,0,0.666666666666667
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default",0.517027979043785,0.459788305448116,1.06533719088172,2.22675268673394,0.648533950617284,0.639274691358025,-0.731315216525568,-0.0815313134293084,-0.0184317360472932,-0.00995319642377813,0.0572396735956694,0.0172908322553529,0.133663093220347,-1.16141549585222,-1.30442475721739,-1.01999722274454,0.00925925925925928,-0.0138888888888888,0.0416666666666666,-0.64978390309626,-0.684070685339577,-0.626183494481043,0.64978390309626,0.626183494481043,0.684070685339577,-0.00847853962351503,-0.0671904598671067,0.0545636915450824,-0.00519044483426819,-0.0545636915450824,0.0332939151901411,1,1,0.666666666666667,0,0.666666666666667
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default",0.348690026682428,0.335177903174028,1.03566788460941,2.81780000061692,0.60841049382716,0.604166666666667,-0.941562796433685,-0.047730954607865,-0.0101013618023274,-0.0195651425844947,0.0135121235084001,-0.00886541195018242,0.0323539527779789,-1.78213211600751,-1.97238238828558,-1.49446883563784,0.00424382716049385,-0.00694444444444442,0.0185185185185186,-0.89383184182582,-0.999261957665571,-0.742650244787386,0.862073410593942,0.742650244787386,0.9504959927848,0.00946378078216733,-0.0494456806042654,0.0652941322792099,-0.0254192509644761,-0.0652941322792099,0.0284522418872592,0.833333333333333,1,0.5,0,0.833333333333333
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_default",0.348565513664445,0.322205934173331,1.19524733069,3.21307456624324,0.601851851851852,0.597222222222222,-0.945963280968998,-0.109380021379256,-0.00718204169442426,-0.0267180813204092,0.0263595794911136,-0.00114630504202201,0.0554581056055318,-2.01782723555325,-2.4094622203048,-1.70109458520701,0.00462962962962961,-0.0208333333333333,0.0324074074074073,-0.836583259589742,-1.01420000687383,-0.769061204941609,0.797395556691912,0.769061204941609,0.843795416315227,0.0195360396259849,-0.129748574424624,0.157893169145836,-0.0811030750128846,-0.157893169145836,0.00715133961568853,0.833333333333333,1,0.333333333333333,0,0.833333333333333
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_default",0.395699487965144,0.378253693641137,0.953107428904573,2.36203859490098,0.636188271604938,0.628858024691358,-0.938848975041128,-0.0345486936052016,0.00183432098598225,0.00076456627282533,0.0174457943240066,0.00857514807324267,0.0320647352223975,-1.40893116599641,-1.56956152560786,-1.24042667737548,0.00733024691358025,-0.0231481481481481,0.0393518518518519,-0.904300281435926,-0.980758725131002,-0.711394242943825,0.874772540990643,0.711394242943825,0.933393854447892,0.00106975471315692,-0.091234409480877,0.0538057892717547,-0.030782310608126,-0.0865721454846605,0.0327306646423125,1,1,0.666666666666667,0,0.833333333333333
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default",0.340177686119999,0.293693533878674,1.27844323207008,3.96907807328603,0.607638888888889,0.581404320987654,-0.938133045492793,-0.049499615113232,-0.0114074140563664,-0.0411856872460255,0.0464841522413259,0.0217637116547147,0.0684312116035413,-2.69063484121595,-3.12472741134897,-2.23582891748619,0.0262345679012346,-0.00231481481481488,0.0671296296296297,-0.888633430379561,-1.07315796449105,-0.677074919731996,0.817128306014922,0.677074919731996,0.912923414332327,0.029778273189659,-0.0143396071998607,0.0768633260552428,-0.0277661747838909,-0.0768633260552428,0.020375902417165,1,1,0.833333333333333,0,0.833333333333333
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default",0.345389965674373,0.322592937726258,0.977796115257428,3.4495459662589,0.611496913580247,0.606095679012346,-0.953333061914154,0.160488801522685,0.00747156425489309,0.001369635780851,0.0227970279481151,0.00954442976493453,0.0323196064572635,-2.47174985100147,-2.75065469840906,-2.20746006595181,0.00540123456790124,-0.0277777777777778,0.0185185185185185,-1.11382186343684,-1.4006711637248,-0.893338460108943,0.771985670704185,0.517505069366353,0.964174198503673,0.0061019284740421,-0.239777119932523,0.126150658097395,-0.0800269456019384,-0.239777119932523,-0.0130631371294088,1,1,0.666666666666667,0,1
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default",0.36763950226271,0.352921438712492,1.05869658581103,2.92644128856446,0.628086419753086,0.609182098765432,-0.929498603673554,-0.00861380285410232,0.00393824613738989,0.0355315783573325,0.0147180635502179,-0.0065130761269046,0.041564312082602,-1.86774470275343,-2.19527384414972,-1.48879268164208,0.0189043209876543,-0.0092592592592593,0.0486111111111112,-0.920884800819452,-1.10799552871217,-0.601975459038728,0.812126250937632,0.601975459038728,0.932505554762941,-0.0315933322199426,-0.155552418897537,0.170507174213293,-0.113754215050208,-0.170507174213293,-0.0271645251041477,0.833333333333333,1,0.833333333333333,0,1
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","st_default",0.243830380395155,0.261078398276293,0.9829333872731,2.60083270675918,0.604166666666667,0.587577160493827,-0.962744221278964,-0.269347504892424,0.0106746212995773,0.00543457021245473,-0.0172480178811388,-0.037815594600031,0.00099411156650836,-1.61789931948609,-2.14965274615327,-1.28036405575405,0.0165895061728395,-0.0162037037037037,0.0625000000000001,-0.69339671638654,-0.985991119897568,-0.433839930479816,0.684881867174601,0.433839930479816,0.934902024625937,0.00524005108712256,-0.0898234585761128,0.0648494286491063,-0.0209711311641326,-0.0748447259937649,0.0128382152154239,0.166666666666667,1,0.833333333333333,0,0.833333333333333
