"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","hrf_regime","ar_regime","isi_regime","amp_regime","cell"
1,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.322455331115466,1.95638206709573,-0.274947581133462,0.0048889730895631,0.613425925925926,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.322766088967189,1.94756877070729,-0.278155305330186,0.00197206143702872,0.611111111111111,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
1,"fmrilss_sbhm",0.196888936178473,2.03924374943642,-0.524191282436826,0.00447776707957754,0.569444444444444,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"st_default",0.348431326295148,1.04805872316889,-0.970545264359317,-0.00918380578618189,0.625,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_lss",0.333264523680677,2.58797572703858,-0.135425892940615,-0.00147288695748165,0.648148148148148,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[absolute|x=0.01|b=0.01]",0.333309723842175,2.55603108768518,-0.146245518958259,-0.001439170113971,0.648148148148148,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[fractional|x=0.01|b=0.01]",0.333402288396233,2.5536085434627,-0.146871756212876,-0.00407912858427721,0.645833333333333,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[absolute|x=0.02|b=0.01]",0.333353263331496,2.52498483626001,-0.156789693509221,-0.00139431103143106,0.648148148148148,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[fractional|x=0.02|b=0.01]",0.333442152839238,2.52481459742474,-0.156652408845463,-0.00400697184455159,0.645833333333333,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[absolute|x=0.05|b=0.01]",0.333477234313965,2.4367731906789,-0.186908503028424,-0.00127071827723653,0.648148148148148,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[fractional|x=0.05|b=0.01]",0.333556081689759,2.44268516906397,-0.184687715818847,-0.00380409502048999,0.645833333333333,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[absolute|x=0.01|b=0.02]",0.333310198136193,2.55600786716711,-0.146252371096097,-0.00145215461355301,0.648148148148148,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[fractional|x=0.01|b=0.02]",0.333495179737613,2.54908305306152,-0.14823939463298,-0.00666672582029971,0.645833333333333,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.333353734073123,2.5249622019184,-0.15679636975189,-0.00140713463397217,0.648148148148148,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.333534398552165,2.52039617555878,-0.157987492268132,-0.0065649288052665,0.645833333333333,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.333477695002913,2.4367521819544,-0.186914690230122,-0.00128308216854484,0.648148148148148,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.333646492688588,2.43856526152682,-0.185931788340503,-0.00627705404824769,0.645833333333333,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[absolute|x=0.01|b=0.05]",0.333311620528257,2.55593823237887,-0.146272922808676,-0.00149109905641573,0.648148148148148,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[fractional|x=0.01|b=0.05]",0.333755447328155,2.53651154892381,-0.152159549701522,-0.0140782970194248,0.650462962962963,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.333355145811906,2.52489432506443,-0.156816393911185,-0.00144559651676117,0.648148148148148,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
2,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.333792862788166,2.50812505266236,-0.161814726594884,-0.0138922415104248,0.650462962962963,TRUE,NA,"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","nominal","ar_iid","isi_dense","amp_none","h1_r1_c1"
