"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate"
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",40,0.351910423277432,0.349370764332979,0.0398803947992587,3.50521714170616,3.52424943657339,0.218774398885816,0.239223615749897,0.247976215273311,0.147668514778107,0.246252314040638,0.0114204757038876,0.0677528142269332,0.186386302826294,0.158550248360836,0.608217592592593,0.603009259259259,0.026376025671508,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fastlss[cpp]",40,0.323153177798492,0.323559682274355,0.0424228677888458,2.39778160976703,2.39300670005101,0.123437498476831,-0.223782512035815,-0.225188272462331,0.11056235561259,0.226290095855425,0.00492206432641639,0.0177194765578456,0.0834723921168612,0.0657344215002013,0.598148148148148,0.59837962962963,0.0279395416463497,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fastlss[r]",40,0.323153177798492,0.323559682274355,0.0424228677888458,2.39778160976703,2.39300670005101,0.123437498476831,-0.223782512035815,-0.22518827246233,0.11056235561259,0.226290095855425,0.00492206432641638,0.0177194765578458,0.0834723921168613,0.0657344215002014,0.598148148148148,0.59837962962963,0.0279395416463497,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis_best",40,0.321522375000889,0.32382917526427,0.0415701555634735,2.34827721774159,2.34231713311541,0.126565943920082,-0.253665819141205,-0.250376447254539,0.106308676394118,0.253665819141205,0.00323418479835276,0.0140493732239278,0.12085399601284,0.0940799020084996,0.598090277777778,0.596064814814815,0.0247637059209606,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_lss",40,0.321216986113442,0.323405145363811,0.0415317964037669,2.4120514162416,2.40851970524803,0.128147559504668,-0.233621836670155,-0.241577285797902,0.108679419717798,0.235768662611526,0.00305381488665216,0.0139598993326991,0.12536091271742,0.0977933689688537,0.597800925925926,0.594907407407407,0.0241118827037033,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","st_default",40,0.318328659395304,0.314170427500965,0.0505169869875251,1.09969736160053,1.08779584147748,0.0583732112142488,-0.769712174393136,-0.771184356058171,0.043383376718548,0.769712174393136,-0.00485627719583748,-0.00879739091894534,0.0430851421548694,0.0339419525354036,0.600925925925926,0.601851851851852,0.0293497135239264,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fit[cf_als]",40,0.148173631918199,0.147830950975221,0.0485312836758073,1.47923100665347,1.49317413619158,0.0795918252826581,-0.824051413725422,-0.838034259327137,0.060007973627629,0.824051413725422,-0.0112231503105829,-0.0104103153611116,0.0468742027655342,0.0381274760972249,0.545775462962963,0.546296296296296,0.0224520668135787,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fit[ls_svd_1als]",40,0.148173631918199,0.147830950975221,0.0485312836758073,1.4792619870872,1.49315091258083,0.0795882886839219,-0.824073391198332,-0.838065056508011,0.0600124663115845,0.824073391198332,-0.0112203620339273,-0.0104223124687157,0.0468815044715733,0.038128850078821,0.545775462962963,0.546296296296296,0.0224520668135787,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fit[ls_svd_only]",40,0.0969877548995852,0.0989891010004618,0.0496623709923135,1.1722166623219,1.16517193633891,0.0652816537827112,-0.945186211623458,-0.945377130266072,0.0268988258241356,0.945186211623458,-0.00659236679969229,-0.0011484978371056,0.0469695495486331,0.0391772127664793,0.533449074074074,0.537037037037037,0.0188781991939013,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_sbhm",40,0.318549620515312,0.322615804808555,0.0380084030367827,3.82080262788435,3.79036845210272,0.260712897570098,0.307088843025502,0.301147390411249,0.202707790570249,0.310066900677995,-0.000251484596137395,0.0173668520998067,0.116961755061942,0.0912438578717649,0.609722222222222,0.611111111111111,0.0181346733703448,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","hrfals_fastlss[r]",40,0.287094917442183,0.287770593528444,0.0417019286698422,2.57099269123908,2.5536593220622,0.138215231758163,-0.230890238122487,-0.228505048692715,0.131262238258943,0.235696571323151,-0.0178928417636342,-0.00869220932592117,0.178024285465697,0.144987268919173,0.605902777777778,0.605324074074074,0.0234357138093942,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","hrfals_fastlss[cpp]",40,0.287094917442183,0.287770593528444,0.0417019286698422,2.57099269123908,2.5536593220622,0.138215231758163,-0.230890238122487,-0.228505048692715,0.131262238258943,0.235696571323152,-0.0178928417636342,-0.00869220932592143,0.178024285465697,0.144987268919173,0.605902777777778,0.605324074074074,0.0234357138093942,1
