"method","mean_cor"
"st_default",0.329577854206306
"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.32192162592201
"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.321771559371413
"fmrilss_oasis[fractional|x=0.01|b=0.05]",0.321718298735992
"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.32161166056384
"fmrilss_oasis[fractional|x=0.05|b=0.01]",0.321498473095628
"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.321450509936465
"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.321404203012327
"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.321402011360172
"fmrilss_oasis[absolute|x=0.05|b=0.01]",0.32140128037232
"fmrilss_oasis[fractional|x=0.01|b=0.02]",0.321393252925651
"fmrilss_oasis[fractional|x=0.02|b=0.01]",0.32133322861175
"fmrilss_oasis[fractional|x=0.01|b=0.01]",0.321274493893793
"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.321223227839744
"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.321220951733395
"fmrilss_oasis[absolute|x=0.02|b=0.01]",0.321220192576382
"fmrilss_oasis[absolute|x=0.01|b=0.05]",0.321158570896487
"fmrilss_oasis[absolute|x=0.01|b=0.02]",0.3211562641949
"fmrilss_oasis[absolute|x=0.01|b=0.01]",0.321155494832978
"fmrilss_lss",0.32108764772472
"fmrilss_sbhm",0.263905272940839
