"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate"
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_lss",2,0.275979107611337,0.275979107611337,0.0299444018063621,3.03141534452885,3.03141534452885,0.189476810598249,-0.196726158496097,-0.196726158496097,0.090574994556852,0.196726158496097,-0.0207180112722394,-0.0207180112722394,0.0652402600693405,0.0461318303014046,0.603009259259259,0.603009259259259,0.00163682125274661,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","st_default",2,0.272171601698018,0.272171601698018,0.0537963835013016,1.06242113015999,1.06242113015999,0.0325158083999727,-0.955272935909861,-0.955272935909861,0.0125782864435428,0.955272935909861,-0.00330292813376191,-0.00330292813376191,0.00261700740597105,0.00330292813376191,0.572916666666667,0.572916666666667,0.0310996038021861,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",2,0.234967205725003,0.234967205725003,0.0467632931132405,3.07900279883706,3.07900279883706,0.210654344883922,-0.320967207068764,-0.320967207068764,0.132696078519595,0.320967207068764,0.0131838607099824,0.0131838607099824,0.0734492540420381,0.0519364656062185,0.601851851851852,0.601851851851852,0.00654728501098658,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis_best",2,0.151396480436583,0.151396480436583,0.0527741852788015,2.87097171798215,2.87097171798215,0.00935375979485727,-0.578272691960627,-0.578272691960627,0.108326025606297,0.578272691960627,0.0116074306428362,0.0116074306428362,0.0444742596799807,0.0314480506079658,0.549768518518518,0.549768518518518,0.0049104637582399,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_sbhm",2,0.261688245956711,0.261688245956711,0.00659853404138631,3.39624587479662,3.39624587479662,0.11525795336294,-0.0957400254837001,-0.0957400254837001,0.109288493102842,0.0957400254837001,-0.182676903233461,-0.182676903233461,0.0978283931964182,0.182676903233461,0.592592592592593,0.592592592592593,0.0163682125274664,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_lss",2,0.257898595096316,0.257898595096316,0.0465345878608676,3.19001035137163,3.19001035137163,0.0739973924218733,-0.137863103544479,-0.137863103544479,0.195299301632568,0.138097460545386,-0.163398191858883,-0.163398191858883,0.0386054139736472,0.163398191858883,0.606481481481482,0.606481481481482,0.0130945700219732,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","st_default",2,0.256011125874265,0.256011125874265,0.0449302661731464,0.976945520911555,0.976945520911555,0.0258595865960035,-0.962725158844393,-0.962725158844393,0.00712435618352952,0.962725158844393,0.0122080646343598,0.0122080646343598,0.00943719815532949,0.0122080646343598,0.576388888888889,0.576388888888889,0.0065472850109865,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_oasis_best",2,0.14016123214356,0.14016123214356,0.0859108312385209,3.17831097644252,3.17831097644252,0.227934813517228,-0.566729377295862,-0.566729377295862,0.278007917590676,0.566729377295862,-0.0620217559373947,-0.0620217559373947,0.0343732968069157,0.0620217559373947,0.543981481481481,0.543981481481481,0.00327364250549329,1
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_lss",2,0.217920590337595,0.217920590337595,0.0164296305432787,3.59715841249535,3.59715841249535,0.695211733805416,-0.322055527428971,-0.322055527428971,0.094005318561998,0.322055527428971,-0.00997140538222605,-0.00997140538222605,0.0490898688507696,0.0347117791519375,0.537037037037037,0.537037037037037,0.0130945700219731,1
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_sbhm",2,0.210964241829605,0.210964241829605,0.0149931650907749,3.8611497946426,3.8611497946426,0.743443752993035,-0.309189811503399,-0.309189811503399,0.0271749241286939,0.309189811503399,0.0171343969783878,0.0171343969783878,0.0572794515198595,0.0405026885923387,0.543981481481482,0.543981481481482,0.00982092751647979,1
